Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
-,47253057,99012883,RogerJStoneJr,WilliamTurton,,29887,2024-08-31 16:15:15,2024-08-30 12:12:50
-,47253057,116363549,RogerJStoneJr,SameeraKhan,Premium,235036,2024-08-31 16:15:15,2024-08-30 12:12:50
-,47253057,1518924642639134723,RogerJStoneJr,Mc49Cindy,Premium,5359,2024-08-31 16:15:15,2024-08-30 12:12:50
-,47253057,1659987684918435847,RogerJStoneJr,DonaldTNews,Premium,1231299,2024-08-31 16:15:15,2024-08-30 12:12:50
+,47253057,789977198,RogerJStoneJr,ChrisRuddyNMX,Premium,33445,2024-08-31 16:15:15,2024-08-30 12:12:50
+,47253057,4505795352,RogerJStoneJr,DivintyMary,Premium,45553,2024-08-31 16:15:15,2024-08-30 12:12:50
+,47253057,703558015862104064,RogerJStoneJr,Anuel_2bleA,Premium,2628015,2024-08-31 16:15:15,2024-08-30 12:12:50
+,592730371,1178839081222115328,JackPosobiec,MysteryGrove,Premium,97559,2024-08-31 07:12:03,2024-08-30 08:35:25
+,592730371,1639058398036541441,JackPosobiec,Christyshamb13,,272,2024-08-31 07:12:03,2024-08-30 08:35:25
-,1625493998,116363549,KingsleyCortes,SameeraKhan,Premium,235036,2024-08-31 06:15:44,2024-08-30 07:40:06
+,1625493998,81851282,KingsleyCortes,jchasedavis,Premium,13993,2024-08-31 06:15:44,2024-08-30 07:40:06
+,1625493998,1518777787213041665,KingsleyCortes,patriot_hammer,Premium,39014,2024-08-31 06:15:44,2024-08-30 07:40:06
+,1589986640587640834,21217620,Riley_Gaines_,NicoleShanahan,Premium,553616,2024-08-30 19:35:52,2024-08-29 19:01:18
+,1589986640587640834,56717592,Riley_Gaines_,HonShawnThierry,,12369,2024-08-30 19:35:52,2024-08-29 19:01:18
+,1137701,21217620,DavidSacks,NicoleShanahan,Premium,553616,2024-08-30 16:06:39,2024-08-29 15:23:41
-,47253057,733339372968239104,RogerJStoneJr,BrianNMazzola,Premium,34726,2024-08-30 12:12:50,2024-08-29 11:17:46
-,47253057,1518736393484349441,RogerJStoneJr,shaneosborne65,,247,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,19981354,RogerJStoneJr,CliffGephart,Premium,404,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,352646297,RogerJStoneJr,Billc1984,Premium,2881,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,373364557,RogerJStoneJr,JerseyRizzo,Premium,21100,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,2862729348,RogerJStoneJr,Jamekamilla21,,621,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,802710918245314561,RogerJStoneJr,AlexandraLevi20,Premium,22147,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1015630080020754432,RogerJStoneJr,clark_pyne44,,3499,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1202630675725258754,RogerJStoneJr,captainnarc700,Premium,16555,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1242624545539809280,RogerJStoneJr,CaseyMeansMD,Premium,171926,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1354484662475878411,RogerJStoneJr,KennyHufford24,Premium,25,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1382470288844206080,RogerJStoneJr,Charles02065988,,2969,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1529253694100971521,RogerJStoneJr,MattTay44181041,,4225,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1578090995471745037,RogerJStoneJr,Desinformation,,66,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1647255064392892417,RogerJStoneJr,Godsdaughter89A,Premium,3624,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1659987684918435847,RogerJStoneJr,DonaldTNews,Premium,1231299,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1773143365871165440,RogerJStoneJr,joshuabbazzle,,16681,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1800153353181143040,RogerJStoneJr,jeanne_mea86921,,8,2024-08-30 12:12:50,2024-08-29 11:17:46
+,47253057,1818997245867618304,RogerJStoneJr,TexasrootsUSA,,36,2024-08-30 12:12:50,2024-08-29 11:17:46
-,1074480192,52989681,SenTedCruz,JakeHlebain,,456,2024-08-30 08:06:02,2024-08-29 07:09:58
-,1625493998,1518777787213041665,KingsleyCortes,patriot_hammer,Premium,39014,2024-08-30 07:40:06,2024-08-29 06:43:55
+,1625493998,22301250,KingsleyCortes,Damianmerlo,Premium,3057,2024-08-30 07:40:06,2024-08-29 06:43:55
+,1625493998,116363549,KingsleyCortes,SameeraKhan,Premium,235036,2024-08-30 07:40:06,2024-08-29 06:43:55
+,1625493998,279764138,KingsleyCortes,Vi11atoro,Premium,75748,2024-08-30 07:40:06,2024-08-29 06:43:55
+,1625493998,707278892801765377,KingsleyCortes,TAftermath2020,Premium,94223,2024-08-30 07:40:06,2024-08-29 06:43:55
+,1625493998,1366850512247812099,KingsleyCortes,A1Policy,Business,79969,2024-08-30 07:40:06,2024-08-29 06:43:55
+,1625493998,1371581088586420229,KingsleyCortes,paleochristcon,Premium,81166,2024-08-30 07:40:06,2024-08-29 06:43:55
+,1625493998,1721139282092429312,KingsleyCortes,MyronGainesX,,255246,2024-08-30 07:40:06,2024-08-29 06:43:55
+,2352629311,1969097227,HawleyMO,McCormickProf,Premium,110773,2024-08-30 07:16:50,2024-08-29 06:21:29
