Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,26637348,2263438704,TulsiGabbard,GillianHTurner,Premium,84923,2024-09-30 22:40:07,2024-09-28 02:55:40
+,26637348,1403784319122907136,TulsiGabbard,BehizyTweets,Premium,656416,2024-09-30 22:40:07,2024-09-28 02:55:40
+,26637348,1711966669403213824,TulsiGabbard,theBryanHisey,,27,2024-09-30 22:40:07,2024-09-28 02:55:40
-,47253057,1355347989821186058,RogerJStoneJr,imUrB00gieman,Premium,86733,2024-09-30 22:10:06,2024-09-29 06:43:00
-,47253057,1756743913505992704,RogerJStoneJr,onpointpolitics,Premium,14189,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,36442519,RogerJStoneJr,chrismartenson,Premium,218405,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,39065858,RogerJStoneJr,TXFrogMomma,Premium,76622,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,103760901,RogerJStoneJr,stickermule,Business,212611,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,486129723,RogerJStoneJr,bigdog0668,Premium,2350,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,552647087,RogerJStoneJr,WorldviewTube,Premium,16978,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,3054188413,RogerJStoneJr,evan_coons,Premium,692,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,767181704461025280,RogerJStoneJr,raisingpatriots,Premium,3001,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,1296255120141889536,RogerJStoneJr,MoniqueWorthy,Premium,71274,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,1382831604956082178,RogerJStoneJr,dreamcolleen,,151,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,1556043853920100352,RogerJStoneJr,ThePsyopCop,,6549,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,1632184397435752449,RogerJStoneJr,ExDemMark,Premium,18055,2024-09-30 22:10:06,2024-09-29 06:43:00
+,47253057,1666613119509200896,RogerJStoneJr,ElSpicolio,Premium,239,2024-09-30 22:10:06,2024-09-29 06:43:00
+,592730371,78683448,JackPosobiec,BretWeinstein,Premium,1172338,2024-09-30 18:07:43,2024-09-28 23:22:32
-,1074480192,595969422,SenTedCruz,Dboy2029,,216,2024-09-30 17:15:45,2024-09-28 22:53:02
+,1074480192,139680498,SenTedCruz,realistic_view,,11449,2024-09-30 17:15:45,2024-09-28 22:53:02
+,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2024-09-30 16:40:35,2024-09-28 22:30:30
+,1326229737551912960,1298358020339048449,libsoftiktok,MegynKellyShow,Premium,343192,2024-09-30 09:03:02,2024-09-28 14:57:44
+,1589986640587640834,1629306853732790275,Riley_Gaines_,Real_EdDiehl,Premium,5775,2024-09-30 04:16:04,2024-09-28 10:31:26
+,1589986640587640834,1805010327584870400,Riley_Gaines_,FairPlayOR,,261,2024-09-30 04:16:04,2024-09-28 10:31:26
-,47253057,552647087,RogerJStoneJr,WorldviewTube,Premium,16978,2024-09-29 06:43:00,2024-09-28 02:25:37
-,47253057,1371356737131970560,RogerJStoneJr,RayReddingtton,Premium,47894,2024-09-29 06:43:00,2024-09-28 02:25:37
-,47253057,1460714714128740352,RogerJStoneJr,BerryRazi,Premium,122931,2024-09-29 06:43:00,2024-09-28 02:25:37
+,47253057,32804484,RogerJStoneJr,Bubblebathgirl,Premium,297959,2024-09-29 06:43:00,2024-09-28 02:25:37
+,47253057,162890663,RogerJStoneJr,thefoodbabe,Premium,242619,2024-09-29 06:43:00,2024-09-28 02:25:37
+,47253057,1306687707414966274,RogerJStoneJr,Nibiru1000,Premium,23018,2024-09-29 06:43:00,2024-09-28 02:25:37
+,47253057,1471606036926631936,RogerJStoneJr,felonattorney,Premium,1468,2024-09-29 06:43:00,2024-09-28 02:25:37
+,47253057,1796314551555907586,RogerJStoneJr,KenKhachigian,Premium,788,2024-09-29 06:43:00,2024-09-28 02:25:37
