Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1326229737551912960,46302096,libsoftiktok,JoeyMannarinoUS,Premium,606774,2023-09-30 16:54:52,2023-09-29 15:24:51
+,1074480192,162244544,SenTedCruz,SaS2AFoundation,Premium,5246,2023-09-30 13:46:36,2023-09-29 12:11:25
-,592730371,562255311,JackPosobiec,LarrySchweikart,Premium,102888,2023-09-30 13:25:59,2023-09-29 11:52:23
-,592730371,832397421342625792,JackPosobiec,NateAndHist,,485,2023-09-30 13:25:59,2023-09-29 11:52:23
+,337808606,880412538625810432,RobertKennedyJr,BillAckman,Premium,1677531,2023-09-30 12:37:11,2023-09-29 11:05:14
+,1589986640587640834,49103785,Riley_Gaines_,benedtl,Premium,11254,2023-09-29 16:41:34,2023-09-28 21:48:19
+,1589986640587640834,2815066958,Riley_Gaines_,russellbelden,Premium,519,2023-09-29 16:41:34,2023-09-28 21:48:19
+,1589986640587640834,1482775223414198273,Riley_Gaines_,ReduxxMag,Premium,144092,2023-09-29 16:41:34,2023-09-28 21:48:19
-,1326229737551912960,1024797162,libsoftiktok,TigardTualSD,,3078,2023-09-29 15:24:51,2023-09-28 20:29:24
+,1326229737551912960,16408752,libsoftiktok,AWeber,,30580,2023-09-29 15:24:51,2023-09-28 20:29:24
-,592730371,22960774,JackPosobiec,LiaS814,Premium,3850,2023-09-29 11:52:23,2023-09-28 16:17:53
+,1589986640587640834,18266688,Riley_Gaines_,TomFitton,Premium,3074765,2023-09-28 21:48:19,2023-09-27 23:18:11
+,1589986640587640834,27000730,Riley_Gaines_,Timcast,Premium,2403658,2023-09-28 21:48:19,2023-09-27 23:18:11
+,1589986640587640834,34771939,Riley_Gaines_,BrentScher,Premium,30173,2023-09-28 21:48:19,2023-09-27 23:18:11
+,1589986640587640834,81371986,Riley_Gaines_,LozzaFox,Premium,607573,2023-09-28 21:48:19,2023-09-27 23:18:11
+,1589986640587640834,1243503046732271617,Riley_Gaines_,EmilSutovsky,Premium,20137,2023-09-28 21:48:19,2023-09-27 23:18:11
+,1589986640587640834,1588072077470343168,Riley_Gaines_,HyperWaldoo,Premium,1721,2023-09-28 21:48:19,2023-09-27 23:18:11
-,1326229737551912960,1895385679,libsoftiktok,isd721,,2110,2023-09-28 20:29:24,2023-09-27 22:01:00
+,1326229737551912960,105852422,libsoftiktok,alifarhat79,Premium,595837,2023-09-28 20:29:24,2023-09-27 22:01:00
+,1326229737551912960,600347606,libsoftiktok,UAlbertaLaw,Business,4769,2023-09-28 20:29:24,2023-09-27 22:01:00
+,1326229737551912960,1024797162,libsoftiktok,TigardTualSD,,3078,2023-09-28 20:29:24,2023-09-27 22:01:00
-,1201670995435646976,778763106289758208,laurenboebert,realJennaEllis,Premium,1102460,2023-09-28 20:06:46,2023-09-27 21:39:15
+,1201670995435646976,98906083,laurenboebert,tylerbowyer,Premium,216280,2023-09-28 20:06:46,2023-09-27 21:39:15
-,592730371,49698174,JackPosobiec,tomselliott,Premium,209619,2023-09-28 16:17:53,2023-09-27 18:27:59
+,26637348,90552683,TulsiGabbard,RobSchneider,Premium,2128655,2023-09-28 13:16:52,2023-09-27 15:40:20
-,1137701,26651370,DavidSacks,FrancescoLugli,Premium,4761,2023-09-28 12:17:54,2023-09-27 14:43:21
-,1137701,139487079,DavidSacks,VladZamfir,Premium,66866,2023-09-28 12:17:54,2023-09-27 14:43:21
+,1589986640587640834,1231156038,Riley_Gaines_,AwakenWithJP,Premium,468187,2023-09-27 23:18:11,2023-09-27 12:50:40
+,1589986640587640834,1173978070535024642,Riley_Gaines_,RepGregMurphy,Government,24496,2023-09-27 23:18:11,2023-09-27 12:50:40
+,1326229737551912960,1577047350089961473,libsoftiktok,FrontlinesTPUSA,Premium,30599,2023-09-27 22:01:00,2023-09-27 11:34:05
+,1227799690579718144,1071585991,VivekGRamaswamy,BillMelugin_,Premium,547461,2023-09-27 21:44:01,2023-09-27 11:18:18
+,1542228578,1345739193721487362,JDVance,SenTuberville,Government,101890,2023-09-27 18:57:36,2023-09-27 08:40:19
-,592730371,5658202,JackPosobiec,Paisano,Premium,18785,2023-09-27 18:27:59,2023-09-27 08:13:30
+,592730371,215885760,JackPosobiec,KaelanDorr,Premium,32864,2023-09-27 18:27:59,2023-09-27 08:13:30
+,1589986640587640834,19338927,Riley_Gaines_,MorganOrtagus,Premium,186891,2023-09-27 12:50:40,2023-09-26 23:53:20
+,1589986640587640834,264361128,Riley_Gaines_,Liz_Wheeler,Premium,1085123,2023-09-27 12:50:40,2023-09-26 23:53:20
-,1326229737551912960,950023356,libsoftiktok,umnmedschool,Premium,9642,2023-09-27 11:34:05,2023-09-26 22:39:32
-,1326229737551912960,1905171469,libsoftiktok,LexingtonTwo,,3097,2023-09-27 11:34:05,2023-09-26 22:39:32
+,1326229737551912960,67497155,libsoftiktok,Fresno_State,,76996,2023-09-27 11:34:05,2023-09-26 22:39:32
+,1326229737551912960,1895385679,libsoftiktok,isd721,,2110,2023-09-27 11:34:05,2023-09-26 22:39:32
-,1201670995435646976,1355660130281545729,laurenboebert,yoderlaveglia,,19859,2023-09-27 11:13:41,2023-09-26 22:18:23
+,1201670995435646976,730899167740989441,laurenboebert,JaredEMoskowitz,Premium,119770,2023-09-27 11:13:41,2023-09-26 22:18:23
+,337808606,1583871301453721600,RobertKennedyJr,RFKJRpodcast,,51282,2023-09-27 07:26:40,2023-09-26 18:22:47
+,1137701,29216764,DavidSacks,Judgenap,Premium,547929,2023-09-27 04:44:50,2023-09-26 15:34:38
+,1137701,1446932149148344320,DavidSacks,ClownWorld_,Premium,3007366,2023-09-27 04:44:50,2023-09-26 15:34:38
+,1589986640587640834,216506034,Riley_Gaines_,kelseybolar,Premium,29472,2023-09-26 23:53:20,2023-09-26 14:47:04
+,1326229737551912960,89188165,libsoftiktok,GranvilleEVSD,,1695,2023-09-26 22:39:32,2023-09-26 13:18:38
+,1074480192,1536480236526878724,SenTedCruz,WarMachineRR,Premium,16544,2023-09-26 19:30:41,2023-09-26 10:12:37
-,1227799690579718144,66439253,VivekGRamaswamy,ZMyersOfficial,,101201,2023-09-26 13:00:45,2023-09-26 03:13:49
-,1227799690579718144,1664731507,VivekGRamaswamy,hillary__vaughn,Premium,32100,2023-09-26 13:00:45,2023-09-26 03:13:49
+,1227799690579718144,16989178,VivekGRamaswamy,JamesOKeefeIII,Premium,3128572,2023-09-26 13:00:45,2023-09-26 03:13:49
+,1227799690579718144,57441414,VivekGRamaswamy,ZubyMusic,Premium,1284789,2023-09-26 13:00:45,2023-09-26 03:13:49
+,1227799690579718144,66439253,VivekGRamaswamy,ZMyersOfficial,,101201,2023-09-26 03:13:49,2023-09-25 17:49:43
+,1074480192,31570570,SenTedCruz,48yardline,,12442,2023-09-26 00:28:46,2023-09-25 14:50:35
+,337808606,1352297504885374982,RobertKennedyJr,intotheweedsdoc,,545,2023-09-25 23:21:53,2023-09-25 13:29:17
+,1227799690579718144,1664731507,VivekGRamaswamy,hillary__vaughn,Premium,32100,2023-09-25 17:49:43,2023-09-25 06:54:02
-,1326229737551912960,18491863,libsoftiktok,MMSDschools,,5501,2023-09-25 07:09:41,2023-09-24 20:27:31
+,1326229737551912960,69156861,libsoftiktok,TheChiefNerd,Premium,813414,2023-09-25 07:09:41,2023-09-24 20:27:31
+,1074480192,130540040,SenTedCruz,jabourg,,875,2023-09-25 04:11:41,2023-09-24 17:14:23
+,1137701,908943769981956097,DavidSacks,wyattreed13,Premium,159886,2023-09-25 00:23:12,2023-09-24 13:16:20
-,1589986640587640834,1361540720251658241,Riley_Gaines_,sarahbeth345,Premium,78886,2023-09-24 12:33:42,2023-09-23 23:02:56
-,1326229737551912960,161010822,libsoftiktok,DanversLibrary,,1275,2023-09-24 11:19:36,2023-09-23 21:44:03
+,1326229737551912960,1905171469,libsoftiktok,LexingtonTwo,,3097,2023-09-24 11:19:36,2023-09-23 21:44:03
-,592730371,2857780588,JackPosobiec,MintChipHQ,Premium,12709,2023-09-24 07:56:25,2023-09-23 18:13:43
+,337808606,221556391,RobertKennedyJr,CanisRennis,,68,2023-09-24 07:07:21,2023-09-23 17:22:59
+,1589986640587640834,48375550,Riley_Gaines_,AndyOgles,Premium,23252,2023-09-23 23:02:56,2023-09-23 12:06:55
+,1589986640587640834,1361540720251658241,Riley_Gaines_,sarahbeth345,Premium,78886,2023-09-23 23:02:56,2023-09-23 12:06:55
+,1542228578,1364663430825865218,JDVance,pruett_collin,,9282,2023-09-23 18:41:02,2023-09-23 07:59:05
