Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1891260313515016192,44196397,DOGE_NASA,elonmusk,Premium,219652476,2025-07-17 05:00:56,2025-07-17 04:00:55
+,1891260313515016192,1319287761048723458,DOGE_NASA,MarioNawfal,Premium,2164886,2025-07-17 05:00:56,2025-07-17 04:00:55
+,1891260313515016192,1879670389057474560,DOGE_NASA,PressSec,Government,1040170,2025-07-17 05:00:56,2025-07-17 04:00:55
-,47253057,1556043853920100352,RogerJStoneJr,ThePsyopCop,,6549,2025-07-17 05:00:30,2025-07-17 04:00:29
+,1891260313515016192,19611483,DOGE_NASA,usairforce,Government,1637252,2025-07-17 04:00:55,2025-07-17 03:00:57
+,1891260313515016192,20179628,DOGE_NASA,USDOL,Government,520264,2025-07-17 04:00:55,2025-07-17 03:00:57
+,1891260313515016192,25073877,DOGE_NASA,realDonaldTrump,Government,102445550,2025-07-17 04:00:55,2025-07-17 03:00:57
+,1891260313515016192,26572460,DOGE_NASA,SpaceForceDoD,Government,654264,2025-07-17 04:00:55,2025-07-17 03:00:57
+,1891260313515016192,73181712,DOGE_NASA,TheJusticeDept,Government,2159303,2025-07-17 04:00:55,2025-07-17 03:00:57
+,1891260313515016192,110541296,DOGE_NASA,CommerceGov,Government,415971,2025-07-17 04:00:55,2025-07-17 03:00:57
+,1891260313515016192,120176950,DOGE_NASA,USTreasury,Government,1073654,2025-07-17 04:00:55,2025-07-17 03:00:57
+,1891260313515016192,1720665183188922368,DOGE_NASA,grok,Business,1273644,2025-07-17 04:00:55,2025-07-17 03:00:57
+,818948638890217473,1052708860648181761,FmrRepMattGaetz,DecampDave,Premium,66501,2025-07-17 04:00:40,2025-07-17 03:00:41
-,622310854,1730449770722783232,PaulIngrassia,giddeygroyper15,,0,2025-07-17 04:00:36,2025-07-17 03:00:37
+,47253057,2348172908,RogerJStoneJr,silentnixon,,376,2025-07-17 04:00:29,2025-07-17 03:00:30
+,20179628,1891260313515016192,USDOL,DOGE_NASA,Government,40529,2025-07-17 04:00:26,2025-07-17 03:00:27
+,1201670995435646976,2315444339,laurenboebert,Shanemgillis,Premium,705831,2025-07-17 03:00:43,2025-07-17 02:00:43
-,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2025-07-17 03:00:38,2025-07-17 02:00:38
+,622310854,1730449770722783232,PaulIngrassia,giddeygroyper15,,0,2025-07-17 03:00:37,2025-07-17 02:00:36
+,1589986640587640834,951632036875460609,Riley_Gaines_,BurtMaclin_FBI,Premium,38605,2025-07-17 02:00:46,2025-07-17 01:00:46
+,1500867239674843143,1740916107861544960,JeffClarkUS,,,,2025-07-17 02:00:45,2025-07-17 01:00:45
+,1518709627927633920,827902447771320321,PeteHegseth,EdwardG1911,Premium,10256,2025-07-17 02:00:45,2025-07-17 01:00:46
+,880412538625810432,8308762,BillAckman,,,,2025-07-17 02:00:42,2025-07-17 01:00:43
+,78408666,325005382,DeptVetAffairs,zacharyebell,Premium,35283,2025-07-17 02:00:32,2025-07-17 01:00:32
+,1894121144967430144,33586604,DepPressSecDOD,ajtata,Premium,16150,2025-07-17 01:01:02,2025-07-17 00:01:02
+,1894121144967430144,1244695854935654400,DepPressSecDOD,DoD_USD_PR,Government,2912,2025-07-17 01:01:02,2025-07-17 00:01:02
+,121147627,1276140426,russvought,DeAngelisCorey,Premium,203028,2025-07-17 01:00:34,2025-07-17 00:00:34
+,44196397,899720210084765696,elonmusk,,,,2025-07-17 01:00:29,2025-07-17 00:00:29
+,1900557217129975808,1875891453638971392,SeanParnellATSD,,,,2025-07-17 00:01:03,2025-07-16 23:01:03
+,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2025-07-17 00:00:38,2025-07-16 23:00:38
-,592730371,46233559,JackPosobiec,rosemcgowan,Premium,929305,2025-07-16 22:00:37,2025-07-16 21:00:37
-,592730371,47474439,JackPosobiec,realDSteinberg,Premium,35613,2025-07-16 22:00:37,2025-07-16 21:00:37
-,592730371,63291287,JackPosobiec,staceydash,Premium,469169,2025-07-16 22:00:37,2025-07-16 21:00:37
-,592730371,911254908921298944,JackPosobiec,mollyfprince,,19422,2025-07-16 22:00:37,2025-07-16 21:00:37
+,14171401,1808932198961283072,mayemusk,alessandrajokes,Premium,6641,2025-07-16 22:00:25,2025-07-16 21:00:25
-,47253057,1511653730759839752,RogerJStoneJr,gigglygerty63,,617,2025-07-16 21:00:30,2025-07-16 20:00:10
+,47253057,1229497063139876864,RogerJStoneJr,CEOElection,,2143,2025-07-16 21:00:30,2025-07-16 20:00:10
+,1344356576786866176,1659722947114979329,RepMTG,AmericaShaman,Premium,158707,2025-07-16 20:00:25,2025-07-16 19:00:42
+,1625493998,1659722947114979329,KingsleyCortes,AmericaShaman,Premium,158707,2025-07-16 20:00:19,2025-07-16 19:00:36
+,622310854,1659722947114979329,PaulIngrassia,AmericaShaman,Premium,158707,2025-07-16 20:00:17,2025-07-16 19:00:34
+,592730371,2896139348,JackPosobiec,,,,2025-07-16 20:00:16,2025-07-16 19:00:34
