Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
-,47253057,132745629,RogerJStoneJr,SteveMcNY,Premium,13102,2025-01-31 23:49:42,2025-01-30 13:24:20
-,47253057,1420888428795809794,RogerJStoneJr,15poundstogo,Premium,40347,2025-01-31 23:49:42,2025-01-30 13:24:20
-,47253057,1590078135344709632,RogerJStoneJr,Luvwolves2Kwl,,1058,2025-01-31 23:49:42,2025-01-30 13:24:20
-,47253057,1593756210234363907,RogerJStoneJr,SDBachmb,,1043,2025-01-31 23:49:42,2025-01-30 13:24:20
-,47253057,1826710290538672128,RogerJStoneJr,BourneJason1966,,1014,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,248859211,RogerJStoneJr,WhiteCoatWaste,Business,77012,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,256178501,RogerJStoneJr,nanaphx,,59,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,1216365294110666752,RogerJStoneJr,aspenbrz,,1320,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,1605591081889980420,RogerJStoneJr,0megalvl3vent,Premium,1776,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,1650595082641260545,RogerJStoneJr,34rthhasrisen,Premium,14804,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,1881451105454002176,RogerJStoneJr,RapidResponse47,Government,838180,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,1883257372740591616,RogerJStoneJr,SecDef,Government,547764,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,1883691197832572928,RogerJStoneJr,statedeptspox,Government,144412,2025-01-31 23:49:42,2025-01-30 13:24:20
+,47253057,1883853671148167168,RogerJStoneJr,SecDuffy,Government,336255,2025-01-31 23:49:42,2025-01-30 13:24:20
+,216881337,21217620,RandPaul,NicoleShanahan,Premium,553616,2025-01-31 22:17:26,2025-01-30 11:43:23
+,592730371,2410068528,JackPosobiec,aubrey_huff,Premium,229670,2025-01-31 20:40:11,2025-01-30 08:58:32
-,1542228578,101214835,JDVance,JoshuaPStarr,,18863,2025-01-31 18:30:23,2025-01-30 08:12:13
-,1625493998,3305470938,KingsleyCortes,whoisaddison,Premium,4642024,2025-01-31 18:25:30,2025-01-30 08:07:14
+,1625493998,1176004076,KingsleyCortes,LucasFoxNews,Premium,102838,2025-01-31 18:25:30,2025-01-30 08:07:14
+,1201670995435646976,4755913398,laurenboebert,DougBurgum,Government,70575,2025-01-31 11:59:43,2025-01-30 23:51:57
+,1326229737551912960,18986695,libsoftiktok,ScottJenningsKY,Premium,598231,2025-01-30 23:05:45,2025-01-29 22:18:30
+,1326229737551912960,34793128,libsoftiktok,RCamposDuffy,Premium,272275,2025-01-30 23:05:45,2025-01-29 22:18:30
+,1326229737551912960,73181712,libsoftiktok,TheJusticeDept,Government,2159303,2025-01-30 23:05:45,2025-01-29 22:18:30
+,1326229737551912960,189305014,libsoftiktok,BNONews,Premium,518123,2025-01-30 23:05:45,2025-01-29 22:18:30
+,1326229737551912960,2410068528,libsoftiktok,aubrey_huff,Premium,229670,2025-01-30 23:05:45,2025-01-29 22:18:30
+,1326229737551912960,1511984710494343170,libsoftiktok,BNODesk,Premium,85268,2025-01-30 23:05:45,2025-01-29 22:18:30
+,1344356576786866176,1883257372740591616,RepMTG,SecDef,Government,547764,2025-01-30 22:52:25,2025-01-29 22:04:42
+,1589986640587640834,16638965,Riley_Gaines_,calleymeans,Premium,279356,2025-01-30 20:06:51,2025-01-29 19:43:47
