Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1500867239674843143,58956054,JeffClarkUS,sandydubya,Premium,2427,2025-06-30 08:49:39,2025-06-30 06:32:53
+,47253057,1301189838985744385,RogerJStoneJr,DannySt62680688,,9,2025-06-30 08:49:22,2025-06-30 06:32:38
-,47253057,2348172908,RogerJStoneJr,silentnixon,,376,2025-06-30 06:32:38,2025-06-30 04:31:20
+,1914737178279862272,1212806053907185664,USAttyEssayli,TheLeoTerrell,Premium,2508169,2025-06-30 04:31:55,2025-06-29 14:18:38
+,1914737178279862272,1924809676446670848,USAttyEssayli,LeoTerrellDOJ,Government,40921,2025-06-30 04:31:55,2025-06-29 14:18:38
+,1589986640587640834,1854919740554190848,Riley_Gaines_,RepBrandonGill,Government,72933,2025-06-30 04:31:36,2025-06-29 14:18:20
+,1500867239674843143,33452466,JeffClarkUS,JoeManganiello,Premium,514969,2025-06-30 04:31:35,2025-06-29 14:18:19
+,1500867239674843143,333186917,JeffClarkUS,ByronFisherKY,Premium,1116,2025-06-30 04:31:35,2025-06-29 14:18:19
+,1500867239674843143,2656759296,JeffClarkUS,Thomas_A_Berry,,2560,2025-06-30 04:31:35,2025-06-29 14:18:19
+,1500867239674843143,949451063886663680,JeffClarkUS,nouralogical,Premium,15079,2025-06-30 04:31:35,2025-06-29 14:18:19
+,818948638890217473,25029495,FmrRepMattGaetz,pulte,Premium,3021098,2025-06-30 04:31:31,2025-06-29 14:18:15
+,818948638890217473,1500129642,FmrRepMattGaetz,MattWalshBlog,Premium,3630317,2025-06-30 04:31:31,2025-06-29 14:18:15
+,1625493998,1178839081222115328,KingsleyCortes,MysteryGrove,Premium,97559,2025-06-30 04:31:28,2025-06-29 14:18:12
+,1625493998,1435810249404043267,KingsleyCortes,wilderpatriot,Premium,62473,2025-06-30 04:31:28,2025-06-29 14:18:12
+,592730371,1178839081222115328,JackPosobiec,MysteryGrove,Premium,97559,2025-06-30 04:31:26,2025-06-29 14:18:10
+,232901331,1435810249404043267,dbongino,wilderpatriot,Premium,62473,2025-06-30 04:31:25,2025-06-29 14:18:09
+,121147627,126722715,russvought,abbydphillip,Premium,627383,2025-06-30 04:31:23,2025-06-29 14:18:08
+,121147627,1602745396375293955,russvought,ZitoSalena,Premium,39856,2025-06-30 04:31:23,2025-06-29 14:18:08
-,47253057,17968862,RogerJStoneJr,mattstueck,,473,2025-06-30 04:31:20,2025-06-29 14:18:04
-,47253057,1365778032015802368,RogerJStoneJr,Chattah4Nevada,Premium,26312,2025-06-30 04:31:20,2025-06-29 14:18:04
-,47253057,1574242876871016448,RogerJStoneJr,Kilroy_777,Premium,9915,2025-06-30 04:31:20,2025-06-29 14:18:04
-,47253057,1621191843160666112,RogerJStoneJr,tomgrantham07,Premium,12527,2025-06-30 04:31:20,2025-06-29 14:18:04
+,47253057,2348172908,RogerJStoneJr,silentnixon,,376,2025-06-30 04:31:20,2025-06-29 14:18:04
+,47253057,2436321511,RogerJStoneJr,sheepdoginov8,,2193,2025-06-30 04:31:20,2025-06-29 14:18:04
+,47253057,2580947641,RogerJStoneJr,Champsu2,Premium,11448,2025-06-30 04:31:20,2025-06-29 14:18:04
+,47253057,1435810249404043267,RogerJStoneJr,wilderpatriot,Premium,62473,2025-06-30 04:31:20,2025-06-29 14:18:04
+,47253057,1772768237345705985,RogerJStoneJr,HikingHelps,Premium,1601,2025-06-30 04:31:20,2025-06-29 14:18:04
+,47253057,1863643748942393344,RogerJStoneJr,_StephenPhillip,Premium,3046,2025-06-30 04:31:20,2025-06-29 14:18:04
+,50769180,1854675520858079237,IngrahamAngle,FosterFriess09,,104,2025-06-30 04:31:20,2025-06-29 14:18:04
+,44196397,357041259,elonmusk,JaredBirchall,Premium,3316,2025-06-30 04:31:19,2025-06-29 14:18:04
-,29495695,27903091,KLoeffler,energymetrodesk,,267,2025-06-30 04:31:18,2025-06-29 14:18:03
+,20179628,701821488,USDOL,SenFinance,Government,20423,2025-06-30 04:31:16,2025-06-29 14:18:01
+,1882110939022970880,177101260,BrianHughes47,Rainmaker1973,Premium,2392644,2025-06-29 14:18:25,2025-06-29 11:47:56
+,39344374,212044538,DonaldJTrumpJr,HunterNation,Premium,6714,2025-06-29 14:18:03,2025-06-29 11:47:32
-,1500867239674843143,1559477423397392384,JeffClarkUS,hampshire_hog69,,2808,2025-06-29 11:47:51,2025-06-29 04:57:24
-,720999142986792961,2978309843,DOIWildlandFire,WUIwatch,,124,2025-06-29 11:47:45,2025-06-29 04:57:18
-,1542228578,1364663430825865218,JDVance,pruett_collin,,9282,2025-06-29 11:47:43,2025-06-29 04:57:16
-,1625493998,1364663430825865218,KingsleyCortes,pruett_collin,,9282,2025-06-29 11:47:43,2025-06-29 04:57:16
+,47253057,17968862,RogerJStoneJr,mattstueck,,473,2025-06-29 11:47:34,2025-06-29 04:57:06
+,47253057,1392538357251469312,RogerJStoneJr,ThePatriotOasis,Premium,258502,2025-06-29 11:47:34,2025-06-29 04:57:06
+,47253057,1472318875286999042,RogerJStoneJr,Russell83523650,,1779,2025-06-29 11:47:34,2025-06-29 04:57:06
-,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2025-06-29 04:57:16,2025-06-29 03:36:12
+,1924809676446670848,1897449624467857411,LeoTerrellDOJ,ArgamaniNoa,Premium,16335,2025-06-29 03:36:43,2025-06-28 20:40:24
+,1911884791911231489,1586014602894233603,AAGDhillon,ThJefferson1819,Premium,6560,2025-06-29 03:36:42,2025-06-28 20:40:23
+,1883691197832572928,1810801752268230656,statedeptspox,MichaelGatesESQ,Premium,10665,2025-06-29 03:36:28,2025-06-28 20:40:11
-,1500867239674843143,1931758603,JeffClarkUS,mkflo1,,166,2025-06-29 03:36:20,2025-06-28 20:39:58
+,1500867239674843143,1103480798097915904,JeffClarkUS,Karl_Townes,Premium,7920,2025-06-29 03:36:20,2025-06-28 20:39:58
+,1500867239674843143,1556077147068022785,JeffClarkUS,Rose20014345,,2613,2025-06-29 03:36:20,2025-06-28 20:39:58
+,1500867239674843143,1853810914333474816,JeffClarkUS,michw5912,,1396,2025-06-29 03:36:20,2025-06-28 20:39:58
+,880412538625810432,1770613347983249408,BillAckman,AdamsWarRoom,,6588,2025-06-29 03:36:17,2025-06-28 20:39:55
