Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1344356576786866176,3340423565,RepMTG,WendellHusebo,Premium,29824,2024-07-31 22:38:25,2024-07-30 06:42:38
+,1326229737551912960,1237411,libsoftiktok,davidmarcus,Premium,187118,2024-07-31 22:24:29,2024-07-31 01:38:31
-,47253057,220701283,RogerJStoneJr,PlanetRockwell,,2919,2024-07-31 08:08:32,2024-07-30 11:41:14
-,47253057,750567337078775808,RogerJStoneJr,JonMichaelBeall,,253,2024-07-31 08:08:32,2024-07-30 11:41:14
-,47253057,1740177358588432384,RogerJStoneJr,MFungi369,,4588,2024-07-31 08:08:32,2024-07-30 11:41:14
+,47253057,815660092359966721,RogerJStoneJr,Mj18189038,,2585,2024-07-31 08:08:32,2024-07-30 11:41:14
+,47253057,1502623258553769984,RogerJStoneJr,the_mr_k,,576,2024-07-31 08:08:32,2024-07-30 11:41:14
-,2352629311,37668295,HawleyMO,trevorlair,,120,2024-07-30 20:15:07,2024-07-29 14:31:37
+,2352629311,21333396,HawleyMO,susancrabtree,Premium,135768,2024-07-30 20:15:07,2024-07-29 14:31:37
-,592730371,1646347061581733888,JackPosobiec,CainCadmusCabot,Premium,1635,2024-07-30 19:04:27,2024-07-29 13:15:58
+,216881337,22650398,RandPaul,VFWHQ,,80879,2024-07-30 17:28:22,2024-07-29 11:36:19
+,26637348,259001548,TulsiGabbard,kayleighmcenany,Premium,3969046,2024-07-30 15:36:48,2024-07-29 09:41:17
+,1137701,1512153954196627468,DavidSacks,PhilGordon46,,24809,2024-07-30 14:32:59,2024-07-29 08:35:38
-,47253057,1105852870421815296,RogerJStoneJr,kpnationalist19,,9905,2024-07-30 11:41:14,2024-07-29 05:41:32
+,47253057,863268564777656321,RogerJStoneJr,RobGolf4,,4876,2024-07-30 11:41:14,2024-07-29 05:41:32
+,47253057,1812600559163318273,RogerJStoneJr,Point5Native,,104,2024-07-30 11:41:14,2024-07-29 05:41:32
+,878247600096509952,1666454451241058307,RealCandaceO,CarloMVigano,Premium,92131,2024-07-30 09:46:08,2024-07-27 19:22:46
+,1227799690579718144,1768998948838969344,VivekGRamaswamy,stand4truthorg,,955,2024-07-30 07:37:49,2024-07-29 00:26:26
+,1326229737551912960,1026576700610621441,libsoftiktok,LangmanVince,Premium,331514,2024-07-30 06:55:44,2024-07-28 23:42:57
+,2352629311,1097939463110443008,HawleyMO,JMRaasch,Premium,4379,2024-07-29 14:31:37,2024-07-27 22:02:05
-,1542228578,156832155,JDVance,craignbaldwin,,770,2024-07-29 14:05:44,2024-07-27 22:27:32
+,1542228578,19668853,JDVance,greghartmann,,3025,2024-07-29 14:05:44,2024-07-27 22:27:32
-,592730371,1178839081222115328,JackPosobiec,MysteryGrove,Premium,97559,2024-07-29 13:15:58,2024-07-27 23:16:05
+,592730371,1333612066456920064,JackPosobiec,PaulaYScanlan,Premium,132956,2024-07-29 13:15:58,2024-07-27 23:16:05
+,47253057,793542678377926656,RogerJStoneJr,CynicalPublius,Premium,200276,2024-07-29 05:41:32,2024-07-28 08:38:25
+,47253057,1519436771532042240,RogerJStoneJr,Parkersam19,,6494,2024-07-29 05:41:32,2024-07-28 08:38:25
+,47253057,1737113566745108480,RogerJStoneJr,realErikDPrince,Premium,547136,2024-07-29 05:41:32,2024-07-28 08:38:25
+,1625493998,1583274949615255554,KingsleyCortes,NYYRC_History,,293,2024-07-29 05:30:19,2024-07-28 08:27:34
+,1201670995435646976,1137600571,laurenboebert,RepCloakroom,,32733,2024-07-29 00:42:02,2024-07-27 17:10:06
+,1201670995435646976,1816964179707985921,laurenboebert,HFreedomAction,Premium,1095,2024-07-29 00:42:02,2024-07-27 17:10:06
+,1589986640587640834,374712154,Riley_Gaines_,TRobinsonNewEra,Premium,1279741,2024-07-28 20:18:02,2024-07-27 12:29:51
+,47253057,1628761207397138435,RogerJStoneJr,austin_dermody,Premium,12199,2024-07-28 08:38:25,2024-07-28 03:01:06
-,47253057,45758279,RogerJStoneJr,mommaleo,Premium,25605,2024-07-28 03:01:06,2024-07-26 06:48:26
-,47253057,868637460,RogerJStoneJr,GovAILeader,Premium,84307,2024-07-28 03:01:06,2024-07-26 06:48:26
-,47253057,1502623258553769984,RogerJStoneJr,the_mr_k,,576,2024-07-28 03:01:06,2024-07-26 06:48:26
+,47253057,15750898,RogerJStoneJr,FOX13News,,435215,2024-07-28 03:01:06,2024-07-26 06:48:26
+,47253057,1139217161275101184,RogerJStoneJr,MdBreathe,Premium,528071,2024-07-28 03:01:06,2024-07-26 06:48:26
+,47253057,1424813593632124931,RogerJStoneJr,mommyrn88,Premium,229500,2024-07-28 03:01:06,2024-07-26 06:48:26
+,47253057,1477311278804881410,RogerJStoneJr,lion_politics,Premium,27633,2024-07-28 03:01:06,2024-07-26 06:48:26
+,47253057,1674861136498286605,RogerJStoneJr,WesternLensman,Premium,328393,2024-07-28 03:01:06,2024-07-26 06:48:26
+,337808606,1543954281878982661,RobertKennedyJr,GeorgeTapanes,Premium,1168,2024-07-28 00:20:08,2024-07-26 04:28:36
+,592730371,3066129832,JackPosobiec,TheNatPulse,Premium,86096,2024-07-27 23:16:05,2024-07-26 03:23:50
-,1074480192,950498635,SenTedCruz,billcrowley3rd,,1785,2024-07-27 22:48:18,2024-07-26 02:55:53
+,1074480192,139680498,SenTedCruz,realistic_view,,11449,2024-07-27 22:48:18,2024-07-26 02:55:53
+,1074480192,431182675,SenTedCruz,camerored,,818,2024-07-27 22:48:18,2024-07-26 02:55:53
+,1074480192,1901008237,SenTedCruz,brendenslab,Premium,4991,2024-07-27 22:48:18,2024-07-26 02:55:53
-,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2024-07-27 22:27:32,2024-07-26 02:35:30
+,1625493998,30743004,KingsleyCortes,MalloryJaspers,Premium,9368,2024-07-27 22:23:56,2024-07-26 02:31:55
+,1625493998,53234855,KingsleyCortes,ammarmufasa,,20657,2024-07-27 22:23:56,2024-07-26 02:31:55
+,1625493998,110798061,KingsleyCortes,TTuberville,Premium,116422,2024-07-27 22:23:56,2024-07-26 02:31:55
+,1625493998,803694179079458816,KingsleyCortes,VP46Archive,Government,14855476,2024-07-27 22:23:56,2024-07-26 02:31:55
+,1625493998,1566894963136364546,KingsleyCortes,JoeLubas12,,1672,2024-07-27 22:23:56,2024-07-26 02:31:55
-,1326229737551912960,38728458,libsoftiktok,r0hernandez,,4398,2024-07-27 16:08:07,2024-07-25 20:03:05
+,1589986640587640834,191871143,Riley_Gaines_,VigilantFox,Premium,1611231,2024-07-27 12:29:51,2024-07-25 16:18:43
+,1137701,23022687,DavidSacks,tedcruz,Government,6942319,2024-07-26 10:23:53,2024-07-24 17:35:28
+,1137701,116579971,DavidSacks,GadSaad,Premium,1137435,2024-07-26 10:23:53,2024-07-24 17:35:28
+,1137701,3075007182,DavidSacks,LappinJeremy,,53,2024-07-26 10:23:53,2024-07-24 17:35:28
-,47253057,250259063,RogerJStoneJr,dieworkwear,Premium,1296156,2024-07-26 06:48:26,2024-07-24 14:44:10
-,47253057,1351443896799150080,RogerJStoneJr,Synchro2021,Premium,81224,2024-07-26 06:48:26,2024-07-24 14:44:10
-,47253057,1477311278804881410,RogerJStoneJr,lion_politics,Premium,27633,2024-07-26 06:48:26,2024-07-24 14:44:10
-,47253057,1810398371104116736,RogerJStoneJr,ScottPricePhil,Premium,209,2024-07-26 06:48:26,2024-07-24 14:44:10
+,47253057,501362653,RogerJStoneJr,brandonreeves11,Premium,325,2024-07-26 06:48:26,2024-07-24 14:44:10
+,47253057,1966527187,RogerJStoneJr,DoktorMortis,Premium,220,2024-07-26 06:48:26,2024-07-24 14:44:10
+,47253057,944404443277037569,RogerJStoneJr,ameen_alai,Premium,76,2024-07-26 06:48:26,2024-07-24 14:44:10
+,47253057,1443390852890517506,RogerJStoneJr,italianicese,,7087,2024-07-26 06:48:26,2024-07-24 14:44:10
+,47253057,1784557974993973249,RogerJStoneJr,Rebeccaplu32396,,83,2024-07-26 06:48:26,2024-07-24 14:44:10
+,216881337,431762931,RandPaul,Ayjchan,Premium,76783,2024-07-26 05:07:01,2024-07-25 11:12:23
+,216881337,1611090068394893337,RandPaul,HSGAC_GOP,Government,2420,2024-07-26 05:07:01,2024-07-25 11:12:23
-,592730371,261749735,JackPosobiec,Steph93065,Premium,245899,2024-07-26 03:23:50,2024-07-25 09:35:27
