Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1900557217129975808,125128723,SeanParnellATSD,RaheemKassam,Premium,536231,2025-04-08 04:38:21,2025-04-07 15:17:03
+,1894121144967430144,534023,DepPressSecDOD,alx,Premium,979960,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,90480218,DepPressSecDOD,RichardGrenell,Premium,1778291,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,110542860,DepPressSecDOD,robsmithonline,Premium,463204,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,138648277,DepPressSecDOD,alexahenning,Premium,17091,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,201066140,DepPressSecDOD,pnjaban,Premium,1178841,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,358545917,DepPressSecDOD,Cernovich,Premium,1410604,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,537709549,DepPressSecDOD,LauraLoomer,Premium,1516834,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,2847221717,DepPressSecDOD,JohnRatcliffe,Government,644473,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,746374333552005121,DepPressSecDOD,wsmartin218,Premium,14216,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,945447144336576512,DepPressSecDOD,RoyceChamberlin,Premium,2730,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1894121144967430144,1863271160747610112,DepPressSecDOD,Kash_Patel,Government,1418763,2025-04-08 04:38:20,2025-04-07 15:17:02
+,1892594777075417088,110445334,FBIDirectorKash,megynkelly,Premium,3606057,2025-04-08 04:38:19,2025-04-07 15:17:01
+,1886776365673803776,17629860,SecRollins,FBI,Government,3762807,2025-04-08 04:38:12,2025-04-07 15:16:53
+,1887168335160184832,1900287802149134339,SecretaryTurner,CEA47,,518,2025-04-08 04:38:12,2025-04-07 15:16:54
+,1882110939022970880,1858322876,BrianHughes47,CB_Cotton,Premium,11132,2025-04-08 04:38:10,2025-04-07 15:16:51
+,1881451105454002176,1900287802149134339,RapidResponse47,CEA47,,518,2025-04-08 04:38:08,2025-04-07 15:16:50
