Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
-,878247600096509952,72445899,RealCandaceO,Kaizerrev,Premium,28088,2024-12-31 14:16:42,2024-12-25 21:07:48
+,878247600096509952,169686021,RealCandaceO,kanyewest,Business,33352786,2024-12-31 14:16:42,2024-12-25 21:07:48
+,878247600096509952,1063961320532324353,RealCandaceO,timotheeology,Premium,42933,2024-12-31 14:16:42,2024-12-25 21:07:48
-,26637348,323494714,TulsiGabbard,anyaparampil,Premium,142198,2024-12-31 12:33:41,2024-12-25 05:17:58
+,26637348,1082197856,TulsiGabbard,KariLake,Premium,2701356,2024-12-31 12:33:41,2024-12-25 05:17:58
+,26637348,917010672956743680,TulsiGabbard,Unitedcajunnavy,Premium,117028,2024-12-31 12:33:41,2024-12-25 05:17:58
+,26637348,1196441152486072320,TulsiGabbard,C__Herridge,Premium,987030,2024-12-31 12:33:41,2024-12-25 05:17:58
+,26637348,1200418418513584130,TulsiGabbard,thenicklavery,Premium,15025,2024-12-31 12:33:41,2024-12-25 05:17:58
+,26637348,1208294893585620992,TulsiGabbard,ShawnRyanShow,Business,342962,2024-12-31 12:33:41,2024-12-25 05:17:58
+,26637348,1685161292179345408,TulsiGabbard,BryceMLipscomb,Premium,69642,2024-12-31 12:33:41,2024-12-25 05:17:58
+,1201670995435646976,18606984,laurenboebert,denvercunning,Premium,14742,2024-12-31 09:50:41,2024-12-28 16:23:56
-,47253057,1392553365448675328,RogerJStoneJr,huwhitememes,Premium,14307,2024-12-31 09:30:42,2024-12-28 16:12:34
-,47253057,1447688126907011078,RogerJStoneJr,lovenlaw2,Premium,213,2024-12-31 09:30:42,2024-12-28 16:12:34
-,47253057,1458066281043689473,RogerJStoneJr,fjb4587,,6144,2024-12-31 09:30:42,2024-12-28 16:12:34
-,47253057,1666501360068579328,RogerJStoneJr,forrest1079522,Premium,918,2024-12-31 09:30:42,2024-12-28 16:12:34
-,47253057,1702701174141358080,RogerJStoneJr,SchwenkerM,Premium,1030,2024-12-31 09:30:42,2024-12-28 16:12:34
-,47253057,1710752998425862144,RogerJStoneJr,ryte100,Premium,3507,2024-12-31 09:30:42,2024-12-28 16:12:34
-,47253057,1849143155704098816,RogerJStoneJr,Magneto2733,,16,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,36743910,RogerJStoneJr,CornelWest,Premium,1039607,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,54481691,RogerJStoneJr,boward57,Premium,6382,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1526550218,RogerJStoneJr,bergi1954,,3726,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,2658805728,RogerJStoneJr,chrisfeanor,Premium,186,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,950858511436648451,RogerJStoneJr,Dawn_Here_,Premium,6784,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1066397248194514944,RogerJStoneJr,RedWhiteTrue12,Premium,9914,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1324878894512578560,RogerJStoneJr,Count2PointOh,,147,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1404944604017922050,RogerJStoneJr,BasedRealWorld,,2668,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1440621601645465605,RogerJStoneJr,WaltNelson9,Premium,925,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1589148199658332160,RogerJStoneJr,TruePatri0t,Premium,2025,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1649839950936850433,RogerJStoneJr,RickD_GK,Premium,38631,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1675875952734158849,RogerJStoneJr,KBasitali66412,,9549,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1683201507238223872,RogerJStoneJr,_ChefMaillard,,199,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1775233048394493952,RogerJStoneJr,OU812000,Premium,1050,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1807953267999084544,RogerJStoneJr,76signal,Premium,548,2024-12-31 09:30:42,2024-12-28 16:12:34
+,47253057,1824427063480291332,RogerJStoneJr,Kristofdg27,Premium,229,2024-12-31 09:30:42,2024-12-28 16:12:34
+,1344356576786866176,111400999,RepMTG,JaniceDean,Premium,624276,2024-12-30 06:44:32,2024-12-24 22:42:42
+,1344356576786866176,429227921,RepMTG,cenkuygur,Premium,729985,2024-12-30 06:44:32,2024-12-24 22:42:42
+,1344356576786866176,557440724,RepMTG,anothercohen,Premium,213340,2024-12-30 06:44:32,2024-12-24 22:42:42
+,47253057,1524176672500690945,RogerJStoneJr,_HRH_Victoria_,Premium,8910,2024-12-28 16:12:34,2024-12-28 12:34:28
+,1589986640587640834,499154896,Riley_Gaines_,alexbruesewitz,Premium,574653,2024-12-28 14:06:13,2024-12-27 16:02:40
+,1589986640587640834,758264276,Riley_Gaines_,nikolas_dm,Premium,4851221,2024-12-28 14:06:13,2024-12-27 16:02:40
-,1201670995435646976,34715823,laurenboebert,DebbieLesko,,26475,2024-12-28 12:49:15,2024-12-25 14:50:22
-,47253057,1518633845834326016,RogerJStoneJr,michigan4season,,870,2024-12-28 12:34:28,2024-12-25 15:30:16
-,47253057,1524176672500690945,RogerJStoneJr,_HRH_Victoria_,Premium,8910,2024-12-28 12:34:28,2024-12-25 15:30:16
-,47253057,1585935938101846028,RogerJStoneJr,TimMaso82638500,,639,2024-12-28 12:34:28,2024-12-25 15:30:16
-,47253057,1645429236470095872,RogerJStoneJr,IgnoramousC,Premium,2142,2024-12-28 12:34:28,2024-12-25 15:30:16
-,47253057,1858478618969604096,RogerJStoneJr,apolitic4l,,2249,2024-12-28 12:34:28,2024-12-25 15:30:16
+,47253057,78297035,RogerJStoneJr,joycelenna,,437,2024-12-28 12:34:28,2024-12-25 15:30:16
+,47253057,708792951187632128,RogerJStoneJr,GREENESJ333,,4040,2024-12-28 12:34:28,2024-12-25 15:30:16
+,47253057,1471144352273424385,RogerJStoneJr,tipsformenx,,478985,2024-12-28 12:34:28,2024-12-25 15:30:16
+,47253057,1808835724529258496,RogerJStoneJr,Modern_Moses_,,95,2024-12-28 12:34:28,2024-12-25 15:30:16
+,1589986640587640834,1361540720251658241,Riley_Gaines_,sarahbeth345,Premium,78886,2024-12-26 00:00:46,2024-12-24 18:57:53
+,1326229737551912960,1686270312,libsoftiktok,HenMazzig,Premium,256829,2024-12-25 18:03:08,2024-12-24 22:52:00
-,47253057,1577797560005033985,RogerJStoneJr,LordanLeterson,,372,2024-12-25 15:30:16,2024-12-25 05:06:05
+,1137701,25913049,DavidSacks,ArmandDoma,Premium,73592,2024-12-25 15:20:06,2024-12-24 08:40:45
+,1137701,58579942,DavidSacks,mattgaetz,Premium,3362973,2024-12-25 15:20:06,2024-12-24 08:40:45
+,1137701,4416456732,DavidSacks,hubermanlab,Premium,1564590,2024-12-25 15:20:06,2024-12-24 08:40:45
+,26637348,2580992246,TulsiGabbard,derrickvanorden,Premium,71686,2024-12-25 05:17:58,2024-12-24 09:08:22
-,47253057,806525977572605955,RogerJStoneJr,AntonioNotaro13,,41,2024-12-25 05:06:05,2024-12-23 07:20:20
-,47253057,1438825768025477125,RogerJStoneJr,launchliberty76,,466,2024-12-25 05:06:05,2024-12-23 07:20:20
-,47253057,1683201507238223872,RogerJStoneJr,_ChefMaillard,,199,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,96831938,RogerJStoneJr,merissahamilton,Premium,33407,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,429227921,RogerJStoneJr,cenkuygur,Premium,729985,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,3029373003,RogerJStoneJr,lacenagao,Premium,22418,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1091518236263309312,RogerJStoneJr,electjacqparker,,5260,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1148317075519234048,RogerJStoneJr,BrilynHollyhand,Premium,56676,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1184514838053048320,RogerJStoneJr,mcmartinezaz,Premium,11758,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1288710442974502913,RogerJStoneJr,ConradsonJordan,Premium,35092,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1388627285721292800,RogerJStoneJr,RJ4arizona,Premium,18498,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1433165953429393411,RogerJStoneJr,KellyCooperAZ,,3623,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1740177358588432384,RogerJStoneJr,MFungi369,,4588,2024-12-25 05:06:05,2024-12-23 07:20:20
+,47253057,1847281436182589440,RogerJStoneJr,itsJohnRocker,Premium,305249,2024-12-25 05:06:05,2024-12-23 07:20:20
+,216881337,523248016,RandPaul,jsolomonReports,Premium,1317864,2024-12-25 04:26:40,2024-12-24 07:01:57
+,1625493998,49849732,KingsleyCortes,petrogustavo,Government,8128005,2024-12-25 03:16:12,2024-12-24 06:24:29
+,1326229737551912960,1028854804087492613,libsoftiktok,RepTimBurchett,Government,153525,2024-12-24 22:52:00,2024-12-23 01:04:30
+,1344356576786866176,240504013,RepMTG,katierosemiller,Premium,57882,2024-12-24 22:42:42,2024-12-23 00:55:41
-,1589986640587640834,1361540720251658241,Riley_Gaines_,sarahbeth345,Premium,78886,2024-12-24 18:57:53,2024-12-22 21:27:28
+,1589986640587640834,1847281436182589440,Riley_Gaines_,itsJohnRocker,Premium,305249,2024-12-24 18:57:53,2024-12-22 21:27:28
+,26637348,240504013,TulsiGabbard,katierosemiller,Premium,57882,2024-12-24 09:08:22,2024-12-23 07:37:30
+,1137701,19749462,DavidSacks,MichaelKratsios,Premium,8161,2024-12-24 08:40:45,2024-12-18 22:04:45
