Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1137701,237580094,DavidSacks,pchamal,Premium,1195,2023-08-31 22:29:11,2023-08-31 06:02:40
+,1589986640587640834,164096473,Riley_Gaines_,robyndesign,,468,2023-08-31 05:01:06,2023-08-30 21:07:08
+,1589986640587640834,1590517207607427072,Riley_Gaines_,TeamPillen,Government,10856,2023-08-31 05:01:06,2023-08-30 21:07:08
+,1227799690579718144,467661480,VivekGRamaswamy,ComicDaveSmith,Premium,707262,2023-08-31 03:37:58,2023-08-30 19:42:26
+,337808606,1173749544,RobertKennedyJr,karen918r,,87,2023-08-31 00:13:52,2023-08-30 16:19:11
-,1137701,237580094,DavidSacks,pchamal,Premium,1195,2023-08-30 22:00:00,2023-08-30 13:43:32
+,1344356576786866176,1437416932458762240,RepMTG,officer_Lew,Premium,83406,2023-08-30 20:06:37,2023-08-30 11:26:42
-,1326229737551912960,1736548531,libsoftiktok,IRCSchools,,3919,2023-08-30 19:59:40,2023-08-30 11:20:22
+,1326229737551912960,2729838270,libsoftiktok,wh_isd,,298,2023-08-30 19:59:40,2023-08-30 11:20:22
+,1074480192,104899843,SenTedCruz,nicksmithrodeo,,26837,2023-08-30 17:17:21,2023-08-30 08:49:21
+,337808606,799962703305539585,RobertKennedyJr,RitaSerino3,,38,2023-08-30 16:19:11,2023-08-30 07:51:24
+,216881337,15029174,RandPaul,NTU,Business,12586,2023-08-30 15:56:46,2023-08-30 07:30:42
-,1326229737551912960,765829824,libsoftiktok,sdenisewatts,,2733,2023-08-30 11:20:22,2023-08-29 19:37:34
+,1326229737551912960,1736548531,libsoftiktok,IRCSchools,,3919,2023-08-30 11:20:22,2023-08-29 19:37:34
+,592730371,33608041,JackPosobiec,ksorbs,Premium,2465178,2023-08-30 08:32:19,2023-08-29 16:33:49
+,592730371,2410068528,JackPosobiec,aubrey_huff,Premium,229670,2023-08-30 08:32:19,2023-08-29 16:33:49
-,1326229737551912960,237714984,libsoftiktok,SCCPSS,,4690,2023-08-29 19:37:34,2023-08-29 10:58:28
-,1326229737551912960,1209417007,libsoftiktok,SteveScalise,Government,701215,2023-08-29 19:37:34,2023-08-29 10:58:28
+,1326229737551912960,31263848,libsoftiktok,stevenmarkryan,Premium,369108,2023-08-29 19:37:34,2023-08-29 10:58:28
+,1326229737551912960,2410068528,libsoftiktok,aubrey_huff,Premium,229670,2023-08-29 19:37:34,2023-08-29 10:58:28
+,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2023-08-29 16:58:42,2023-08-29 08:32:26
-,1344356576786866176,1549346005832945664,RepMTG,IBA_Ministries,,8030,2023-08-29 11:04:46,2023-08-29 02:55:10
+,1326229737551912960,3419594272,libsoftiktok,SexHarassed,Premium,7471,2023-08-29 10:58:28,2023-08-29 02:48:49
-,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2023-08-29 08:32:26,2023-08-28 23:47:27
+,592730371,358413833,JackPosobiec,jessicabarshis,Premium,2789,2023-08-29 08:07:30,2023-08-28 23:11:02
