Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
+,1326229737551912960,791399089,libsoftiktok,kprschools,,8597,2023-11-29 07:39:20,2023-11-28 04:41:42
+,1326229737551912960,2829929317,libsoftiktok,TeaneckHigh,,508,2023-11-29 07:39:20,2023-11-28 04:41:42
+,1326229737551912960,3107509399,libsoftiktok,canarymission,Business,73624,2023-11-29 07:39:20,2023-11-28 04:41:42
-,1326229737551912960,38216246,libsoftiktok,BCRCMP,Government,80886,2023-11-28 04:41:42,2023-11-25 19:47:41
+,1326229737551912960,15774229,libsoftiktok,itschakery,Premium,53202,2023-11-28 04:41:42,2023-11-25 19:47:41
+,1326229737551912960,369583954,libsoftiktok,TheNotoriousMMA,Premium,10642075,2023-11-28 04:41:42,2023-11-25 19:47:41
-,1542228578,288205258,JDVance,quartocracks,,15771,2023-11-27 23:28:29,2023-11-26 00:49:34
-,1542228578,1419316942901555201,JDVance,AFPopulist,Premium,3005,2023-11-27 23:28:29,2023-11-26 00:49:34
+,1542228578,1364663430825865218,JDVance,pruett_collin,,9282,2023-11-27 23:28:29,2023-11-26 00:49:34
+,592730371,1178839081222115328,JackPosobiec,MysteryGrove,Premium,97559,2023-11-27 22:47:21,2023-11-26 01:31:48
+,216881337,889980810656219136,RandPaul,HuckabeeOnTBN,,15689,2023-11-27 21:12:45,2023-11-23 19:26:31
+,26637348,1073588049588772864,TulsiGabbard,TommyHicksGOP,Premium,30495,2023-11-27 19:18:59,2023-11-23 17:37:17
-,337808606,299998623,RobertKennedyJr,cammucci,,26,2023-11-26 02:34:25,2023-11-23 19:55:19
-,337808606,1598140489823391744,RobertKennedyJr,payinatension,,4,2023-11-26 02:34:25,2023-11-23 19:55:19
-,592730371,186562905,JackPosobiec,Kevin_Shipp,Premium,123910,2023-11-26 01:31:48,2023-11-23 20:58:23
+,1542228578,1419316942901555201,JDVance,AFPopulist,Premium,3005,2023-11-26 00:49:34,2023-11-23 21:35:38
-,1201670995435646976,877985300466745344,laurenboebert,JosephJFlynn1,Premium,464562,2023-11-25 20:35:45,2023-11-20 16:32:03
+,1201670995435646976,750201757112758272,laurenboebert,keiths_pencil,,5696,2023-11-25 20:35:45,2023-11-20 16:32:03
+,1201670995435646976,1481110622079266817,laurenboebert,realBrandonGill,Premium,45796,2023-11-25 20:35:45,2023-11-20 16:32:03
-,1227799690579718144,75927392,VivekGRamaswamy,peterboghossian,Premium,322044,2023-11-25 20:23:29,2023-11-20 16:18:50
-,1227799690579718144,429415553,VivekGRamaswamy,AbigailShrier,Premium,268143,2023-11-25 20:23:29,2023-11-20 16:18:50
-,1227799690579718144,1366565625401909249,VivekGRamaswamy,WallStreetMav,Business,1621142,2023-11-25 20:23:29,2023-11-20 16:18:50
+,1227799690579718144,46671731,VivekGRamaswamy,ginacarano,Premium,1406773,2023-11-25 20:23:29,2023-11-20 16:18:50
+,1227799690579718144,920328488,VivekGRamaswamy,therealdhruv,Premium,655,2023-11-25 20:23:29,2023-11-20 16:18:50
-,1326229737551912960,877985300466745344,libsoftiktok,JosephJFlynn1,Premium,464562,2023-11-25 19:47:41,2023-11-20 07:39:56
-,1326229737551912960,1534083976775749632,libsoftiktok,LiberalMilei27,Premium,500301,2023-11-25 19:47:41,2023-11-20 07:39:56
+,1326229737551912960,38216246,libsoftiktok,BCRCMP,Government,80886,2023-11-25 19:47:41,2023-11-20 07:39:56
+,1326229737551912960,458008892,libsoftiktok,EylonALevy,Premium,229677,2023-11-25 19:47:41,2023-11-20 07:39:56
+,1326229737551912960,1442238195387678721,libsoftiktok,_johnnymaga,Premium,221549,2023-11-25 19:47:41,2023-11-20 07:39:56
+,1589986640587640834,1338885776323600385,Riley_Gaines_,Judy_Charl,,2584,2023-11-25 16:56:46,2023-11-23 08:16:50
+,1589986640587640834,1613978293711081495,Riley_Gaines_,PinchesLynne,,7141,2023-11-25 16:56:46,2023-11-23 08:16:50
-,1137701,1468387185330356226,DavidSacks,cirnosad,Premium,60096,2023-11-24 15:55:49,2023-11-23 16:32:22
+,337808606,1672741771338567683,RobertKennedyJr,wearefortheppl,,157,2023-11-23 19:55:19,2023-11-22 22:23:46
+,1589986640587640834,20394822,Riley_Gaines_,mrddmia,Premium,380542,2023-11-23 08:16:50,2023-11-19 17:44:37
+,1589986640587640834,43919633,Riley_Gaines_,kilmeade,Premium,897689,2023-11-23 08:16:50,2023-11-19 17:44:37
+,1589986640587640834,93542051,Riley_Gaines_,lierrekeith,,3613,2023-11-23 08:16:50,2023-11-19 17:44:37
+,1589986640587640834,103430343,Riley_Gaines_,PriscillaPilon,Premium,13218,2023-11-23 08:16:50,2023-11-19 17:44:37
+,1589986640587640834,548263294,Riley_Gaines_,lindayaX,Premium,670526,2023-11-23 08:16:50,2023-11-19 17:44:37
+,1589986640587640834,1559568827805048833,Riley_Gaines_,twc_health,Business,64737,2023-11-23 08:16:50,2023-11-19 17:44:37
+,878247600096509952,317370751,RealCandaceO,KyrieIrving,Premium,4718415,2023-11-23 02:32:57,2023-11-20 18:29:34
-,592730371,1178839081222115328,JackPosobiec,MysteryGrove,Premium,97559,2023-11-22 23:23:20,2023-11-22 11:41:32
+,26637348,183456041,TulsiGabbard,dkrauthammer,Premium,68330,2023-11-22 19:20:44,2023-11-22 08:36:15
+,1137701,24578794,DavidSacks,Scaramucci,Premium,1081528,2023-11-22 18:02:28,2023-11-22 07:35:19
+,1542228578,230037879,JDVance,walkyourcamera,,6631,2023-11-22 12:16:23,2023-11-21 07:39:44
-,592730371,877985300466745344,JackPosobiec,JosephJFlynn1,Premium,464562,2023-11-22 11:41:32,2023-11-21 08:18:21
+,592730371,1178839081222115328,JackPosobiec,MysteryGrove,Premium,97559,2023-11-22 11:41:32,2023-11-21 08:18:21
-,1137701,2842068128,DavidSacks,hyperloop__one,,192530,2023-11-22 07:35:19,2023-11-21 22:18:44
+,1137701,32250446,DavidSacks,normfinkelstein,Premium,471671,2023-11-21 22:18:44,2023-11-19 13:01:17
+,1137701,1352420891896934401,DavidSacks,finndayton,,348,2023-11-21 22:18:44,2023-11-19 13:01:17
+,216881337,1304319774906814464,RandPaul,CharlesRixey,Premium,36776,2023-11-21 17:29:37,2023-11-18 19:16:16
