Change,Source Twitter ID,Target Twitter ID,Source screen name,Target screen name,Target verification,Target followers,Observed,Since
-,1589986640587640834,778763106289758208,Riley_Gaines_,realJennaEllis,Premium,1102460,2023-12-31 08:35:19,2023-12-27 09:09:28
-,1589986640587640834,1361540720251658241,Riley_Gaines_,sarahbeth345,Premium,78886,2023-12-31 08:35:19,2023-12-27 09:09:28
+,1589986640587640834,21761627,Riley_Gaines_,shawnemerriman,Premium,432590,2023-12-31 08:35:19,2023-12-27 09:09:28
+,1589986640587640834,253699663,Riley_Gaines_,shane_pruitt78,Premium,65932,2023-12-31 08:35:19,2023-12-27 09:09:28
+,1589986640587640834,322632450,Riley_Gaines_,Daley_thompson,,55332,2023-12-31 08:35:19,2023-12-27 09:09:28
+,1589986640587640834,3080923354,Riley_Gaines_,donald_ecker,Premium,6179,2023-12-31 08:35:19,2023-12-27 09:09:28
+,1589986640587640834,4010545737,Riley_Gaines_,KemiBadenoch,Government,307358,2023-12-31 08:35:19,2023-12-27 09:09:28
+,1589986640587640834,1539141562692665344,Riley_Gaines_,BrookeLRollins,Premium,67671,2023-12-31 08:35:19,2023-12-27 09:09:28
-,2352629311,754159670,HawleyMO,jhammcrops,,306,2023-12-30 19:46:35,2023-12-27 00:58:20
-,1542228578,1009588379640528897,JDVance,CityBureaucrat,Premium,119965,2023-12-30 19:24:09,2023-12-27 00:36:33
-,1074480192,898842858,SenTedCruz,37Pax,,100,2023-12-30 19:11:36,2023-12-27 00:24:18
-,592730371,877985300466745344,JackPosobiec,JosephJFlynn1,Premium,464562,2023-12-30 18:47:42,2023-12-27 00:01:20
-,592730371,1009588379640528897,JackPosobiec,CityBureaucrat,Premium,119965,2023-12-30 18:47:42,2023-12-27 00:01:20
+,592730371,793652931245383680,JackPosobiec,evitaduffy_1,Premium,105871,2023-12-30 18:47:42,2023-12-27 00:01:20
+,592730371,1178839081222115328,JackPosobiec,MysteryGrove,Premium,97559,2023-12-30 18:47:42,2023-12-27 00:01:20
-,337808606,440490061,RobertKennedyJr,jmorenocruz,,6717,2023-12-30 17:50:42,2023-12-26 23:04:53
+,337808606,18253799,RobertKennedyJr,mikeroweworks,Premium,604558,2023-12-30 17:50:42,2023-12-26 23:04:53
-,1589986640587640834,1023695427135315968,Riley_Gaines_,varindeus,,27594,2023-12-27 09:09:28,2023-12-21 22:07:51
+,1589986640587640834,818610876206956544,Riley_Gaines_,shaneyyricch,Premium,218866,2023-12-27 09:09:28,2023-12-21 22:07:51
+,1589986640587640834,1310746285121703939,Riley_Gaines_,RyanWaltersSupt,Premium,42540,2023-12-27 09:09:28,2023-12-21 22:07:51
-,1542228578,1027912538376294402,JDVance,jordanlperkins,,8118,2023-12-27 00:36:33,2023-12-22 06:13:48
+,1542228578,1419316942901555201,JDVance,AFPopulist,Premium,3005,2023-12-27 00:36:33,2023-12-22 06:13:48
-,592730371,18078366,JackPosobiec,ZaraBlueBarry,,6796,2023-12-27 00:01:20,2023-12-22 06:52:03
-,592730371,778763106289758208,JackPosobiec,realJennaEllis,Premium,1102460,2023-12-27 00:01:20,2023-12-22 06:52:03
-,592730371,1340360513046388739,JackPosobiec,MrPapaJack,,7765,2023-12-27 00:01:20,2023-12-22 06:52:03
+,592730371,22960774,JackPosobiec,LiaS814,Premium,3850,2023-12-27 00:01:20,2023-12-22 06:52:03
+,337808606,1210570727348408321,RobertKennedyJr,Larry_M19211921,,45,2023-12-26 23:04:53,2023-12-22 07:49:06
