Twitter ID,Screen name,Verification,Followers
1950912616055861249,NCTCKent,Government,14869
1187808818522030080,joekent16jan19,Premium,249861
1387375128523255811,DOD_Policy,,11817
4889539601,infantrydort,Premium,11081
1893420964085440512,LaurennGreenee,Premium,87
330579721,GregJaffe,,32738
1561790875558187009,MarcoPolo501c3,Business,219387
1949188244152918016,EGutierrezDOD,,9
443181346,ElbridgeColby,Premium,109786
1031747223569227776,DarrenJBeattie,Premium,363094
1948789648136044548,AndrewBreyDOD,Government,27
213618698,SKRUCHTENMMA,,1202
1387202975811072007,cosgrove_iv,Premium,46289
1889464666885382144,DNIGabbard,Government,465454
138648277,alexahenning,Premium,17091
1144031292,Liz_Friden,,7020
1681010373913092096,mpdimino,Premium,9247
1945908599445925888,RPodleskiDOD,Government,13235
1366641075629170688,visualsofeddie,,17
68498034,DanLamothe,Premium,144120
1610828685484892160,JennartLeonard,,502
909220827442368512,matthewlohmeier,Premium,88014
1452949601502302208,stuartscheller,Premium,14890
1737113566745108480,realErikDPrince,Premium,547136
321190259,LizWillis_,Premium,102229
18266688,TomFitton,Premium,3074765
321317643,camrynbaylee,Premium,216347
850507814023942144,GeorgePapa19,Premium,1251452
18822612,AmyKremer,Premium,135528
1597660173568561152,simmonsactual,Premium,1132
1478061629434703877,DASD_MCFP,,1264
16873037,NYYRC,Premium,31067
1445147735779389444,moshe_maryles,Premium,379
1611138873496637440,RepMillsPress,Government,51406
221153484,marisa_schultz,Premium,3468
1622646434305540097,dannacalmeida,,303
828454426088050688,BenBergquam,Premium,262063
2861436041,jayobtv,Premium,8420
1355721251180961792,GuntherEagleman,Premium,1358806
3565248672,Olivia_Beavers,Premium,114025
4808402532,henryrodgersdc,Premium,64770
98002087,emilybrooksnews,Premium,20752
99012883,WilliamTurton,,29887
126755086,lukerosiak,Premium,105842
1890067800309547008,VPCommsDir,Government,358
1945904030686818304,RChamberlinDOD,Government,214
1519407749154676737,JordanLkarr,Premium,25449
353890966,timburchett,Government,258557
496328612,AmandaHead,Premium,28145
1945895926494568448,JacobBlissDOD,Government,3003
931189747,a_mingst,Premium,915
1139029234163245056,Brick_Suit,Premium,287276
1552130659942076416,JohnFrankmanFL,Premium,39274
27000730,Timcast,Premium,2403658
1145866561271554048,nataliegwinters,Premium,605329
65146567,HumanEvents,Business,129263
623241032,KDCodyTN,Premium,8629
814933320312098817,ChrisCella_Jr,Premium,2113
1403784319122907136,BehizyTweets,Premium,656416
46302096,JoeyMannarinoUS,Premium,606774
14344823,SenateGOP,Government,1653908
1918355511625564160,CIASpox,Government,22112
15745368,marcorubio,Government,4775621
1606342594765590528,RepEricBurlison,Government,45355
1889473613881024513,DNIspox,Government,9366
1702750026986921985,OwenShroyer1776,Premium,318089
125128723,RaheemKassam,Premium,536231
1625493998,KingsleyCortes,Premium,100120
39308549,DailyCaller,Business,1193600
42347548,AlexisWilkins,Premium,75136
240504013,katierosemiller,Premium,57882
90480218,RichardGrenell,Premium,1778291
201066140,pnjaban,Premium,1178841
534023,alx,Premium,979960
875856268056969216,DC_Draino,Premium,2162873
358545917,Cernovich,Premium,1410604
1922567634907791360,Pontifex,Government,18630255
20813112,dlippman,,47377
1319287761048723458,MarioNawfal,Premium,2164886
491719838,TPUSA,Business,736726
1082197856,KariLake,Premium,2701356
1542228578,JDVance,Government,4044030
1883691197832572928,statedeptspox,Government,144412
1911884791911231489,AAGDhillon,Government,41817
20394822,mrddmia,Premium,380542
955955001876254720,MaryMargOlohan,Premium,133504
1019073191229001728,rebekazeljko,,831
1481110622079266817,realBrandonGill,Premium,45796
22508473,GOPoversight,Government,349763
1131917492,JudiciaryGOP,Government,544623
1854919740554190848,RepBrandonGill,Government,72933
935942321756966912,RealAmVoice,Business,386320
965299622,brianglenntv,Premium,63208
913308968809672705,realannapaulina,Premium,804812
2417586104,SebGorka,Premium,1755120
731395417,maureen_bannon,Premium,142651
8865592,Lisaelizabeth,Premium,54673
98906083,tylerbowyer,Premium,216280
3231657095,AnthonySabatini,Premium,212648
906438260,DoDCTO,,10796
17469289,nypost,Business,3386463
457984599,BreitbartNews,Premium,2379496
15212187,bennyjohnson,Premium,3609934
827279765287559171,SpeakerJohnson,Government,996794
1329891389430243330,StephenM,Premium,1095400
844732519966801921,karolineleavitt,Government,833962
292929271,charliekirk11,Premium,4825147
56749157,pdoocy,Premium,439625
1886531809284173824,AGPamBondi,Government,812155
1336724094188969992,baldwin_daniel_,Premium,59412
1892594777075417088,FBIDirectorKash,Government,1203762
87761810,dougmillsnyt,Premium,93989
1883283813276770304,Sec_Noem,Government,545074
746374333552005121,wsmartin218,Premium,14216
16949386,JeffSchogol,,16412
1924524488441430016,ATJackson47,Government,229
1881524001412943872,MargoMartin47,Government,168706
1881479405458935808,Pfeiffer47,Government,17023
1881454601041244161,HFields47,Government,28094
1881453001656709120,AnnaKelly47,Government,34064
1881451105454002176,RapidResponse47,Government,838180
1881450170065260544,Taylor47,Government,27746
1881449011368095744,StevenCheung47,Government,80174
1881447582213550080,Scavino47,Government,248437
1879670389057474560,PressSec,Government,1040170
1879651867288018944,FLOTUS,Government,449638
1616897762142097408,RealTomHoman,Government,698015
1877770071746977792,JakeSchneider47,Government,7801
1500867239674843143,JeffClarkUS,Government,111794
121147627,russvought,Government,136512
21026508,SergioGor,Government,36420
1879652428490149888,VP,Government,888502
1879650942410481666,POTUS,Government,2961759
1879644163769335808,WhiteHouse,Government,1340071
499154896,alexbruesewitz,Premium,574653
15647676,DHSgov,Government,2426015
18170845,JerryDunleavy,Premium,126091
