Twitter ID,Screen name,Verification,Followers
814933320312098817,ChrisCella_Jr,Premium,2113
1329891389430243330,StephenM,Premium,1095400
1893027782684483585,DODResponse,Government,138145
1858947201709305856,SecRubio,Government,824585
2847221717,JohnRatcliffe,Government,644473
1883257372740591616,SecDef,Government,547764
1883283813276770304,Sec_Noem,Government,545074
1886531809284173824,AGPamBondi,Government,812155
1886875846473879552,SecKennedy,Government,887738
1892594777075417088,FBIDirectorKash,Government,1203762
1743350129841582080,gabbycuccia,Premium,24013
565774659,nettermike,Premium,55833
1881451105454002176,RapidResponse47,Government,838180
1518709627927633920,PeteHegseth,Government,1527862
1879670389057474560,PressSec,Government,1040170
1879644163769335808,WhiteHouse,Government,1340071
1879652428490149888,VP,Government,888502
1879651867288018944,FLOTUS,Government,449638
1879650942410481666,POTUS,Government,2961759
1242258668638236672,GingerLGaetz,Premium,146231
1856751787644260354,DOGE,Government,4725834
844732519966801921,karolineleavitt,Government,833962
1821313362283704320,FinePointOAN,,2305
1542228578,JDVance,Government,4044030
1500129642,MattWalshBlog,Premium,3630317
827279765287559171,SpeakerJohnson,Government,996794
1420956226184114181,RileyLewis760,Premium,1271
93360492,JobobTaeleifi,Premium,9297
29547260,jaredkushner,Premium,257026
245963716,TiffanyATrump,Premium,1021291
44196397,elonmusk,Premium,219652476
75541946,LaraLeaTrump,Premium,2150756
180570926,RealJackHibbs,Premium,115303
56561449,JesseBWatters,Premium,3345369
25101996,kimguilfoyle,Premium,2296851
232901331,dbongino,Premium,6756474
54745529,Schineman,Premium,2187
52338305,BrandonStraka,Premium,955509
1336724094188969992,baldwin_daniel_,Premium,59412
1084375028,JasonMiller,Premium,534020
2643570679,_StephanieMyers,Premium,65020
21397275,StellaEscoTV,Premium,24826
1455333853191553025,tippingpointoan,,13832
1345536897838436353,RepBobGood,Premium,92042
22055226,replouiegohmert,Premium,493524
359403242,kelliwardaz,Premium,279491
1083125649609506816,RepGregSteube,Government,108828
2690892570,VoterGa,Premium,23095
20867433,AliciaSummersTV,,5935
1259714432,kimKBaltimore,Premium,602438
1016387143,heyChrisBoyle,Premium,5425
487297085,RonDeSantis,Premium,2733348
39349894,EricTrump,Premium,5751006
18266688,TomFitton,Premium,3074765
1344356576786866176,RepMTG,Government,4623217
1201670995435646976,laurenboebert,Premium,4550792
5509762,SarahHuckabee,Government,2032050
321317643,camrynbaylee,Premium,216347
808080314,rumblevideo,Business,500752
76050550,chrispavlovski,Premium,394197
376453771,STEPHMHAMILL,Premium,143226
818948638890217473,FmrRepMattGaetz,Premium,3149472
259001548,kayleighmcenany,Premium,3969046
23362152,DanNewsManBall,Premium,51734
1217572990579163136,realmonicardrgz,,1996
892237368589115393,Nefertari_25,Premium,44340
1108472017144201216,TrumpWarRoom,Business,2480802
2388042907,christina_bobb,Premium,346345
58579942,mattgaetz,Premium,3362973
1034547062589857792,DanaAlexaNews,Premium,15790
54412900,DevinNunes,Premium,1221331
1212242228283731968,CharlesPHerring,Premium,23758
18166778,Jim_Jordan,Government,6195179
15675138,cspan,Business,2078471
550970673,rpollockDC,,10190
2438831503,ChanelRion,Premium,611568
407311236,mikedinow,,7577
17685258,parscale,Premium,723182
66369181,DeptofDefense,Government,6653411
17629860,FBI,Government,3762807
15647676,DHSgov,Government,2426015
16613128,CBP,Government,479677
2359926157,CIA,Government,3492575
115749048,SecretService,Government,1401005
39384517,ICEgov,Government,843515
11134252,GOP,Premium,3493240
51241574,AP,Business,15814746
521005618,PearsonSharp,,38323
818928162449068032,Cabinet45,Premium,160845
73181712,TheJusticeDept,Government,2159303
818876014390603776,FLOTUS45,Premium,14988409
471672239,KellyannePolls,Premium,3632078
822215679726100480,POTUS45,Government,31434388
2688810780,KlowdTelevision,,6803
25429371,KatrinaPierson,Premium,704071
47253057,RogerJStoneJr,Premium,808675
39344374,DonaldJTrumpJr,Premium,14730229
108471631,MELANIATRUMP,Government,3833658
52544275,IvankaTrump,Premium,11282220
19415893,RobHerring,Premium,53077
25073877,realDonaldTrump,Government,102445550
32588641,awetv,,3431
