Twitter ID,Screen name,Verification,Followers
12788332,WaysandMeansGOP,Premium,60798
744070482832596992,joshdcaplan,Premium,94873
3496929734,bradleyajaye,Premium,4600
353083517,BigSteve207,Premium,49162
115294470,nsizemore722,Premium,787
14803522,JPFreire,Premium,9582
48459553,KatiePavlich,Premium,1207608
1006482620,AZachParkinson,Premium,33070
22928810,willcain,Premium,384574
58579942,mattgaetz,Premium,3362973
292929271,charliekirk11,Premium,4825147
2937476451,NateOnTheHill,Premium,12520
353190789,jepersing,,4646
1343656635907125250,RepMaryMiller,Government,166398
1884335739753881602,interiorpress47,Government,1266
1892037746480345088,DOJSpox47,,168
892384091626237953,Brooketaylortv,,17471
29495695,KLoeffler,Premium,232020
1251891872986992641,SophieDelquie,Premium,17484
46557945,StevenTDennis,Premium,157520
71340937,GZuckerman,Premium,22382
14096763,TheStalwart,Premium,377658
18728203,WPLGLocal10,Business,241544
1890066488041873409,VPPressSec,Government,1873
816061098231296000,ChrisLandauUSA,Premium,184801
1904892727612911616,AAGSlater,,266
1033016071807291392,lizlyons47,,462
1227265416139067393,VLaCivita,,10220
1329891389430243330,StephenM,Premium,1095400
240504013,katierosemiller,Premium,57882
54885400,USNavy,Government,1780858
1854172461186551831,GeneHamiltonUSA,Premium,1924
2417586104,SebGorka,Premium,1755120
20736511,nayibbukele,Government,7392237
1900557217129975808,SeanParnellATSD,Government,2902
341194704,SteveGuest,Premium,121546
1900607381358387200,LizHuston47,Government,404
1900580278709477376,TaylorRogers47,Government,411
1881454038539018240,KushDesai47,Government,1737
1881478226884853760,Kaelan47,Government,27101
329866616,MikeKBerg,,8224
507666277,Jack_Blanchard_,,39810
746374333552005121,wsmartin218,Premium,14216
1207052982107475973,USBPChiefRGV,,22805
15647676,DHSgov,Government,2426015
1334613283274362885,Noah_Griffith_,Premium,7204
1877770071746977792,JakeSchneider47,Government,7801
1084375028,JasonMiller,Premium,534020
930648006,sanguinegop,Premium,2117
1092293822,Danielle_Alva,,7918
69022849,VinceCoglianese,Premium,77575
21149655,ArthurSchwartz,Premium,135367
44783853,HHSGov,Government,1586159
790928380845776896,USBPChief,Premium,84223
352211941,SiriusXMPatriot,Premium,33989
39344374,DonaldJTrumpJr,Premium,14730229
21026508,SergioGor,Government,36420
1886875846473879552,SecKennedy,Government,887738
177812997,CurtMills,Premium,29547
1887168335160184832,SecretaryTurner,Government,103521
1071585991,BillMelugin_,Premium,547461
23022687,tedcruz,Government,6942319
1894121144967430144,DepPressSecDOD,Government,24752
2687612917,John_Seravalli1,Premium,2990
1366130381045530626,AmandaMilius,Premium,181265
701825647,SeanParnellUSA,Premium,301082
1207054845141762048,USBPChiefELC,,20123
1625493998,KingsleyCortes,Premium,100120
1488499238258585601,laurel_libby,Premium,53661
25097735,DouglasCarswell,Premium,89674
1443610671690702852,marshall_moreau,,825
1889019333960998912,SecScottBessent,Government,212585
334226865,AlMeyer19,,5023
844911451101908993,DissidentClint,Premium,14749
1889069367394193408,SBA_Kelly,Government,92998
1322693567765237761,EzraACohen,Premium,262441
1439749396766339074,RealTheoWold,Premium,19263
1892594777075417088,FBIDirectorKash,Government,1203762
445763068,_WilliamsonBen,Premium,24536
21426423,mboyle1,Premium,52012
125128723,RaheemKassam,Premium,536231
1616897762142097408,RealTomHoman,Government,698015
297948413,TriciaOhio,Premium,21963
1315395406180814853,DanielSLoeb1,Premium,151528
1542228578,JDVance,Government,4044030
18170845,JerryDunleavy,Premium,126091
1145866561271554048,nataliegwinters,Premium,605329
294306372,PalmerLuckey,Premium,374454
138648277,alexahenning,Premium,17091
28614262,townhallcom,Business,421632
1886776365673803776,SecRollins,Government,111175
14662354,WashTimes,Business,468470
1881447582213550080,Scavino47,Government,248437
1889473613881024513,DNIspox,Government,9366
1250322626,SaysSimonson,Premium,36021
19742034,AlexMarlow,Premium,55896
149239752,cpa_tradereform,Premium,5775
31185990,jackpandol,,6958
1883283813276770304,Sec_Noem,Government,545074
960962340,RepAndyHarrisMD,Government,36511
1334164871420796928,petermeijer,,65806
976809268405067777,mbrasseaux11,,3120
499154896,alexbruesewitz,Premium,574653
1879652428490149888,VP,Government,888502
2281956015,macaulayporter,Premium,6275
2209811271,GatesMcgavick,Premium,4700
955955001876254720,MaryMargOlohan,Premium,133504
120180668,jeffmason1,Premium,135395
19455864,finnygo,,23878
1856751787644260354,DOGE,Government,4725834
1881450170065260544,Taylor47,Government,27746
78408666,DeptVetAffairs,Government,656453
1237734096312455170,CharyssaParent,Premium,4990
1881451105454002176,RapidResponse47,Government,838180
1854919740554190848,RepBrandonGill,Government,72933
1879650942410481666,POTUS,Government,2961759
1881449011368095744,StevenCheung47,Government,80174
1881453001656709120,AnnaKelly47,Government,34064
1881454601041244161,HFields47,Government,28094
1879644163769335808,WhiteHouse,Government,1340071
1881524001412943872,MargoMartin47,Government,168706
1858947201709305856,SecRubio,Government,824585
18028981,justinbwells,Premium,73486
39384517,ICEgov,Government,843515
1879670389057474560,PressSec,Government,1040170
1652541,Reuters,Business,25590718
51241574,AP,Business,15814746
1367531,FoxNews,Premium,25893973
457984599,BreitbartNews,Premium,2379496
