Twitter ID,Screen name,Verification,Followers
143525311,HCSOSheriff,Government,86550
349137313,FBILosAngeles,Government,122513
1074738925506314240,LosAngelesATF,Government,2980
1207054845141762048,USBPChiefELC,,20123
69039429,FLHSMV,Government,32201
1071585991,BillMelugin_,Premium,547461
20545835,NEWSMAX,Business,3334090
17070113,MayorOfLA,Premium,491409
1367531,FoxNews,Premium,25893973
718162765,DMAnews1,,21933
1881451105454002176,RapidResponse47,Government,838180
2578975201,fdlepio,Government,16680
1883169601552625664,SecNoem,,1112
1100114733833900032,ATFWashington,Government,5162
1101141082472173570,ATFNewOrleans,Government,1768
1011281963477585921,ATFNewYork,Government,6775
1910379841427562502,EROglobal,,1
1303317569584222208,ERO__Phoenix,Government,156
73491087,PhillyPolice,Government,256228
71354375,StaySafeOnline,Premium,176163
442185651,TampaPD,Government,101666
785995115512733697,DEANEWYORKDiv,,5367
1883283813276770304,Sec_Noem,Government,545074
1879644163769335808,WhiteHouse,Government,1340071
18487522,FEMARegion9,Government,83851
17346287,VeteransHealth,Government,122290
28468549,USPacificFleet,Government,338887
570278521,NISTcyber,,84367
89421672,USA_China_Talk,Government,1660799
3253272794,ACICgovau,,5468
714767463586603009,TerrorismPolice,Government,76617
25681997,MITREcorp,,19760
1720087919149686785,Know2Protect,,804
1577442662,NCA_UK,Government,166087
140457196,BLMNational,Government,47814
46648807,NIST,,88394
18990471,USCPSC,Government,156369
1303384859348471808,EROSaltLakeCity,Government,1855
1300492604602306561,EROBuffalo,Government,1268
44783853,HHSGov,Government,1586159
18244358,NatGeoTV,Business,2218667
166252256,ENERGY,Government,830524
61853389,USDA,Government,1091055
1300798656690429953,HSIBuffalo,Government,787
281530541,NOAAFisheries,,57536
19649135,FAO,Government,739646
27830610,WFP,Government,2107430
63787812,NRFnews,Business,60059
1227316865673965568,RFJ_USA,Government,19047
1301499190019846146,EROPhiladelphia,Government,768
493889332,CITES,,94565
2292423140,WildlifeDay,,44359
19426551,NFL,Business,37556030
781107600557563904,UNODC_AML,,11077
2433152336,UNODC_MCP,,9800
394797701,FBIMostWanted,Premium,175831
69231187,UNHumanRights,Government,4112197
1300491357182623744,EROBoston,Government,6497
20867568,forestservice,Government,181765
14615871,EPA,Government,617245
1300498367106224129,ERODetroit,Government,1489
543432574,RealNCIS,,14540
20596281,UNDP,Government,1956213
17969699,UNODC,Government,229372
57625403,USFWS,Government,312596
36771809,NatlParkService,Government,1396910
65672980,KatmaiNPS,,165930
15134240,NIH,Government,1718363
24165974,RILAtweets,,8856
154918162,CLEAR_USA,,192
718112006,USAO_DC,Government,42777
76479832,doioig,Government,7656
146569971,CDCgov,Government,5467441
374541137,DoD_IG,Government,32139
1423270264939372547,ONCD,,21623
1516219156705820672,DHS_DepSec,,3412
2915836895,DOLOIG,Government,4973
1168924019938271232,DOJEnvironment,,2997
291759889,OIGatHHS,Government,21338
28576135,thejointstaff,Government,398479
546217576,ACAMS_ml_com,,10596
1168922728763727877,DOJNatSec,,22060
15633653,SEC_Investor_Ed,Premium,175725
858091345,HUDOIG,Government,4043
1201642531,GSA_OIG,Government,6542
1526285682662064128,DHS_Policy,,1720
211635204,NewYorkFBI,Premium,223947
18947956,acams_aml,Premium,19674
1134296164692447233,ACCCE_AUS,,1432
1532402708,AusFedPolice,Government,53840
224507816,DHSOIG,Government,11421
1438217502413271042,DOJCrimDiv,,33112
432772955,TheSSAOIG,Government,15172
289360023,BristolSheriff,,2488
46470122,LASDHQ,Government,209521
1445056693205929991,EroHarlingen,Government,528
454313925,NWS,Government,3140514
1303319517486092290,EROSanAntonio,Government,1525
1303385465886781446,EROSaintPaul,Government,641
1304099944031301632,HSIArizona,,1341
1323730225067339784,WhiteHouse46,Government,8755325
2548338757,USAO_AK,Government,4404
1304053955337555968,HSIKansasCity,Government,1666
1466796338046197767,CBPChrisMagnus,,2789
1300970135684108295,ERONewark,Government,1382
123635567,StateINL,Government,34788
1304102501935919106,HSISanJuan,Government,1694
1300799477251538948,HSI_Charlotte,Government,1441
1304100771403890688,HSISaintPaul,Government,1202
1304050349624512512,HSIDetroit,Government,2677
1304101326444531713,HSI_SanAntonio,Government,3032
1339943881027313666,HSI_HQ,Government,23530
1303691738733780995,EROElPaso,Government,1596
1300495547011420160,ERODallas,Government,1052
1300490563595259906,EROBaltimore,Government,1642
1304098948706119687,HSIPhiladelphia,Government,1871
1304098365517500418,HSINewark,Government,1370
1304054623196635136,HSILosAngeles,Government,2036
1300967890292793346,EROLosAngeles,Government,4197
1304054296330285058,HSILasVegas,Government,532
1300801078129307650,HSIChicago,Government,3013
1304050854161416195,HSIElPaso,Government,2133
1054428027302621185,CBPGulfCoast,,1401
741360749994496000,USAO_MDNC,Government,2655
716704724,NDALnews,Government,4714
510629470,CBPBuffalo,Government,6314
716791658,NDWVnews,Government,3086
2233470968,USAO_SDIA,Government,4359
716811480,WDNYnews,Government,2646
743427996170788869,USAO_EDNC,Government,3450
308559103,USAO_MIE,Government,4721
1534983313,DSDNews1,,3189
3666524661,CBPCaribbean,,6639
1583852822,USAO_RI,,5021
3099877145,USAO_MDFL,Government,4426
500107109,CBPMidAtlantic,,7698
2382655182,USAO_EDTN,,2010
805853995277447172,USAO_WDWI,Government,2989
3433096756,CBPSoutheast,,6533
343452680,FBIWFO,Government,247709
716809482,USAO_WDNC,Government,3854
1472489282,CBPGreatLakes,Government,7191
512355630,CBPFlorida,,13923
718126513,SDGAnews,Government,3486
1702987051,USAO_AZ,Government,5024
1059868711409143808,CBPTradeGov,Government,5867
1304055307149160451,HSI_Nashville,Government,1436
1300494321385381893,EROChicago,Government,2161
1300797956455628801,HSINewEngland,Government,1957
1303386508326559747,EROWashington,Government,1920
1235675502737870848,IRS_CI,Government,16782
1304053174093967367,HSIHonolulu,Government,1640
27659225,USAO_CO,,3568
745874570,MDPAnews,Government,3491
716795971,WDWAnews,Government,4053
1309051932,USAO_Kansas,Government,4763
1482442440,SDILNews,Government,4257
1480702603,WDTNNews,,3677
45662833,NDILnews,Government,5434
348053920,FBIMemphis,,14935
349243642,FBILittleRock,Government,20858
1300969205572001794,EROMiami,Government,3240
351890315,FBITampa,Government,28252
351148755,FBICharlotte,Government,38479
347286842,FBIAlbany,Government,17260
351895346,FBISeattle,Government,45728
46803597,USCGHeartland,,11129
138037459,ukhomeoffice,Government,1071109
55584584,USCGAcademy,,13543
81155662,US_STRATCOM,Government,243847
1364880882,USEmbassySV,Government,233900
1199111577833820160,NSACyber,Premium,142740
1363682447695765510,SecMayorkas,Premium,98387
347289480,FBIAnchorage,Government,17782
349249046,FBI_Nashville,Government,29065
349284012,FBIKansasCity,Government,25739
342872584,CBPNewYorkCity,,7777
1184840877212143617,CBPAMO,Government,10788
803694179079458816,VP46Archive,Government,14855476
14159148,UN,Government,16475451
1349149096909668363,POTUS46Archive,Government,37225709
1350150750966603777,SecBlinken,Premium,2249247
23664866,usembassyguate,Government,173596
1300973998373851136,HSIHouston,Government,2078
1303387423938838529,HSI_DC,Government,2595
1300797200386199557,HSIBaltimore,Government,2164
1304049669505462272,HSIDenver,Government,1320
