Twitter ID,Screen name,Verification,Followers
1889019333960998912,SecScottBessent,Government,212585
22961785,RecruitmentIRS,,10846
222110357,IRSsmallbiz,,30598
3191500397,G7,Premium,120765
925441731331543040,g20org,Government,641619
1528799182932389891,AsstSecEcon,,2382
1488225564259405831,UnderSecTFI,,3677
2983206962,USDS,,60247
44499925,GPatState,Government,8835
3342667407,OFRgov,,1693
1367642958502244354,TreasuryDepSec,,8161
56838279,ODNIgov,Government,279391
4180260695,HouseDailyPress,Premium,24502
2375533844,SenatePress,,37461
11134252,GOP,Premium,3493240
19739126,SpeakerMcCarthy,Government,3055713
1249982359,SenMcConnell,Government,2145267
28137796,capitalimpact,,6077
198918110,OppFinance,,8436
1944075055,IMFLive,,67103
3345623481,CDFIFund,,4041
1183621296,ChamberGlobal,,3473
85606078,USChamber,Premium,160757
267916987,USTDA,,14870
732402528,AfricaMediaHub,Government,42443
238197721,AsstSecStateAF,Government,162424
61583656,USGSA,Government,46837
299661515,SEC_Enforcement,Premium,74864
83466368,ecb,Government,793427
1235675502737870848,IRS_CI,Government,16782
862405301693296640,USTradeRep45,,49658
843791797084151808,BEPgov,,2746
3002362660,JusticeATR,,13628
294084341,USHouseFSC,Government,28817
42924141,FinancialCmte,Government,47749
628709039,SenateFinance,Government,20444
701821488,SenFinance,Government,20423
54885400,USNavy,Government,1780858
19611483,usairforce,Government,1637252
10126672,USMC,Government,1705992
25073877,realDonaldTrump,Government,102445550
36972997,NMAAHC,,218603
621523,BBCBusiness,Premium,2285073
75367781,HouseForeignGOP,Government,81429
17494010,SenSchumer,Government,3353328
1223130229,FHFA,Government,27919
412303032,US2EU,Government,26042
608395879,MHA4You,,4513
123334719,DFCgov,Government,31339
30231097,USOPM,Government,87351
16057477,uspto,,68702
1099296103,SelectUSA,,18113
1543830679,USCBOcostest,,16386
1531265618,USCBO,Government,35605
53184098,ngadc,,329538
454313925,NWS,Government,3140514
24898621,NREL,,90792
15603311,USGLC,Business,17568
18904582,hmtreasury,Government,454715
17599655,USGBC,,123729
25098482,IMFNews,Government,2295993
522042410,TheAHASociety,,1922
277160419,USICHgov,,15870
211955846,EconAtState,Government,13665
104324860,SenateBanking,Government,27274
15113565,USCG,Government,663003
14625398,USCIS,Government,453775
414331122,TSA,Government,263807
178978113,eAsiaMediaHub,Government,131365
16273831,VOANews,Business,1719394
159582860,WHIAANHPI,,21102
18164420,nasahqphoto,Government,3100063
393562221,USDOT,Government,277967
413223602,ENERGYSpox,,24011
221135570,CivilRights,,68195
459362054,ATFHQ,Government,115718
18509466,the_IDB,Business,68431
22656792,TodaysDocument,,55148
27830610,WFP,Government,2107430
19990779,NOAAcharts,,11950
61083476,TaxPolicyCenter,,42467
14159148,UN,Government,16475451
27860681,WorldBank,Government,3847556
374672240,NYFedResearch,,65258
87951215,UnderSecStateJ,Government,43080
19112923,TradeGov,Government,44540
127539363,TradeUnderSec,,4523
423594950,ReadySaveGrow,,634
369507958,WeThePeople44,,12273
106448460,WhiteHouseHstry,Premium,200904
481439919,cyber,Premium,302104
136020626,GoUSAgov,,1621
612896910,BLS_gov,Premium,94106
15675138,cspan,Business,2078471
146569971,CDCgov,Government,5467441
26538229,federalreserve,Government,1252900
20064236,USGPO,Government,13251
45876299,RegulationsGov,,4571
240700617,NTASAlerts,,22050
19738801,usembassysjo,Government,27780
20186316,NIHClinicalCntr,,81274
50428583,PhilFedEconEd,,15374
187993109,FTC,Government,111943
208120290,US_FDA,Government,565236
481519707,BizUSAgov,,1303
425134513,RichFedResearch,,28076
94642927,usdatagov,,28923
249677516,USUN,Government,430656
166252256,ENERGY,Government,830524
222666657,EximBankUS,,38550
70837868,CMSGov,Government,201001
234044087,CFTC,Government,81577
39384517,ICEgov,Government,843515
143477156,DallasFed,,76148
60654735,USDA_ERS,Government,78562
33669915,ForeignPressCtr,Government,17628
259403099,US_EDA,,19979
28145010,ClevelandFed,Government,62632
46648807,NIST,,88394
115749048,SecretService,Government,1401005
93949373,USOCC,Government,34486
50078958,YourVoiceAtIRS,,42897
39276600,IRSenEspanol,Government,22595
26805062,IRStaxpros,Government,136009
30857540,AtlantaFed,Premium,91607
16532451,RichmondFed,,48781
20268270,MinneapolisFed,,64348
46804450,ChicagoFed,,93647
153149305,SBAgov,Government,565648
137454693,Digital_Gov,,52769
161811364,ChallengeGov,,14708
86697288,HealthCareGov,Government,272990
80834534,FedRegister,,16121
101802390,USNatArchives,Government,260124
110541296,CommerceGov,Government,415971
39580052,SocialSecurity,Government,129085
18906069,CleveFed_ComDev,,18808
46393249,philadelphiafed,,73437
20078032,BostonFed,,67711
18990471,USCPSC,Government,156369
15633653,SEC_Investor_Ed,Premium,175725
128594349,EngageState,Government,15421
48001143,PhilFedResearch,,42274
36960352,FDICgov,Government,47698
15072071,NewYorkFed,Premium,250185
117237387,sffed,,66392
71567590,stlouisfed,Government,233570
17239967,ClevFedResearch,,42735
6450322,womenshealth,Premium,840134
16669075,fema,Government,828056
17451742,EPAwater,Government,105031
18058609,FDArecalls,Government,668330
20436059,USDAFoodSafety,Premium,1365072
16613128,CBP,Government,479677
22826294,AirmanMagazine,,56434
22506222,BenefitsGOV,,21483
16616061,CDCFlu,Premium,852344
14287409,USAGovEspanol,Government,178756
17346287,VeteransHealth,Government,122290
