Twitter ID,Screen name,Verification,Followers
339984356,IvanPentchoukov,Premium,48812
1204473645520838658,jimhoft_,Business,5080
1854919740554190848,RepBrandonGill,Government,72933
1813545855028277248,SteveWitkoff,Premium,58402
110741164,craigbrockie,Premium,119246
480806004,Stockwell_Day,Premium,21527
1519041477384585218,SaveUSAKitty,Premium,58984
1035682488331497472,sauga960am,Premium,2955
41635723,coasttocoastam,Premium,169761
1694563234496356352,ric46925,,28
1511329431968792582,chapindwight5,Premium,310
1459402535488397314,MikePyle11,,1
1656410833566732289,Ghwbay,,325
1201520235033051136,FWM8675309,Premium,161
1882089668306427904,MikeWaltz47,Government,66995
1588008133091377153,MonsignorMrtnez,Premium,287
454324248,NixonKissinger,,530
849393059003600896,EisenhowerFound,,475
1077366272134955013,PrezWisdom,,44328
1656049923438137344,stone_clark45,,283
32466228,DemarcusAGraham,Premium,253
1071648721,ChiefBigly,Premium,242
799326923142770688,AnneElizabethUS,Premium,16530
473128664,Jack4NJ,Premium,37276
1587473418429005827,LimbaughLegacy,Premium,6944
37689691,LSchnapf,Premium,663
1476449188770729984,DefiantWorld,Premium,278570
1738294722567794688,TeamSchimel,Premium,21684
1553045766998052867,PierreO51833042,Premium,705
932275200468459520,FilesJFK,Premium,14656
1489339139266945026,Jennife25765312,,57
1491865320902041605,staceyh32720,,14893
1432140000829841417,Friia10,Premium,21564
1451942967837593605,Jude_62,Premium,10677
1091227076282200064,kdroesch914,,93
707231479047315456,PeterSweden7,Premium,872007
870795419462230016,CoreyWilken,Premium,911
1128250836793032704,EvelynIsGolden,,86
1753544247041740800,XAndrewBalboaX,Premium,1386
1901635213693784065,FBIDDBongino,Government,106241
1836804983796211719,chamberskc28549,Premium,116
40519997,ochocinco,Premium,3134191
11134252,GOP,Premium,3493240
91580703,timparlatore,Premium,12430
1482189638806630402,georgecurator,Premium,218
1519126440159105026,Murphyms73,Premium,245
314057401,jcp1983jcp,,451
1793105234069159937,veritasalerts,Premium,2248
1798125623711293440,MrsBeard01,,365
22275683,timanstine,Premium,360
1771322692857475072,Patriotsfnm,,437
1529590903341318144,DemarcoCapone,,2595
1039216164864516096,USAelectricguy,,203
1295578593834291200,WillieDMack1,Premium,38466
15745368,marcorubio,Government,4775621
68712576,CarlosBolsonaro,Premium,3927211
3236273852,MannyXUSA,Premium,683
1841209185138057217,AnnetteAyvonne,Premium,409
1882496976115404800,EDSecMcMahon,Government,73797
1885353378449911809,Born10521,,75
1258760450486857729,_b3aut_,,85
1591492625391026176,LongerCrowbar,Premium,212
21026508,SergioGor,Government,36420
1422298727486791681,bolso22df,Premium,332
40053694,FlavioBolsonaro,Premium,3462548
1812325421624754177,cloudzaitrump,Premium,113
1332477587399053313,SpencerHakimian,Premium,29835
1823415078437445633,MariaOfMars,Premium,1607
736267842681602048,DonaldTrump,Premium,808231
1883169280109473792,magafran96,Premium,443
1141495130349719552,InsurancePlanX,Premium,2486
1333642969065410560,buckeye__nick,,262
1472433965336256519,BigEazyPeazy,,312
15334638,olympiada,Premium,12917
1587295592824307718,NedRedoff,,41
1893776249866350592,ProudJ6er,,23
1666996096021721096,nwobigboy1,,417
1802753589083037696,bronxbear21,,329
1698733011146027012,Duckskipper6767,,432
1586150448918052864,FloyJackson123,Premium,4807
140957258,NavyGirl411,Premium,326
1671366724682219521,Lone_Star_Heat,Premium,12367
748560375293964293,doctor_chain,Premium,543
1861593431648210944,info_warrior_00,Premium,391
1822994017191182336,Looniz74,,127
1812836957589745665,rubytubee,Premium,3836
1121807798826930177,MyLordBebo,Premium,633839
1872569731829604352,IfindRetards,Premium,596407
1616918896434364422,LTwarpoet,Premium,1738
1591737317735206912,TheStonedSailo1,,21
1893027782684483585,DODResponse,Government,138145
1605508047140438016,ProjectConstitu,Premium,89993
1778667361819836416,ReaganMovie,Premium,4708
263317732,RoxanneBT,Premium,3154
2176476241,AinsworthKeith,Premium,71271
1705020241472794624,PeaceLoveMAGA,,18
1871042603795308544,dwla41040,,29
1889069367394193408,SBA_Kelly,Government,92998
1792782416714584065,JimmyLevyMusic,Premium,3349
1213067495105421312,MKhashaan,,486
323421255,SocialismSucs,Premium,3991
59001488,BeardsonBeardly,Premium,112939
1398442591276969986,MyWillowMemes,Premium,28893
1686433003310895108,9unf49,,2212
773498208,DaveLew63,Premium,7759
1621752990662119424,JNale5,,538
1892594777075417088,FBIDirectorKash,Government,1203762
