Twitter ID,Screen name,Verification,Followers
81155662,US_STRATCOM,Government,243847
1245964323752677378,RealDylanMO,Premium,4696
1866688761305653248,dto_rok,Premium,23371
9624742,StateDept,Government,6499563
54885400,USNavy,Government,1780858
1911884791911231489,AAGDhillon,Government,41817
20192403,HASCRepublicans,Government,27707
1918355511625564160,CIASpox,Government,22112
906438260,DoDCTO,,10796
12858902,UnderSecPD,Government,40364
1500867239674843143,JeffClarkUS,Government,111794
1924524488441430016,ATJackson47,Government,229
117821354,SECNAV,,58971
1911754494679089152,USDPColby,,4
984517807076446208,StateDeputySpox,Government,40054
1098615836,BrookeSingman,Premium,45450
420572093,jhaboush,Premium,12323
1660440916451024897,OSINTWarfare,Premium,56652
14173031,emilmichael,Premium,27168
1242258668638236672,GingerLGaetz,Premium,146231
1707848824788520961,patrickweaverPA,,193
1084375028,JasonMiller,Premium,534020
1602745396375293955,ZitoSalena,Premium,39856
819963212267483140,MDC12345678,,1002
1108472017144201216,TrumpWarRoom,Business,2480802
1882110939022970880,BrianHughes47,Government,5691
20813112,dlippman,,47377
185868832,Dakota_Meyer,Premium,100089
25159286,CENTCOM,Government,800228
27000730,Timcast,Premium,2403658
819432501982752768,nickshirleyy,Premium,58599
382687915,TomNovelly,,3854
18266688,TomFitton,Premium,3074765
955955001876254720,MaryMargOlohan,Premium,133504
1437464229481754627,frankabregom,Government,4517
945447144336576512,RoyceChamberlin,Premium,2730
2847221717,JohnRatcliffe,Government,644473
1863271160747610112,Kash_Patel,Government,1418763
110542860,robsmithonline,Premium,463204
138648277,alexahenning,Premium,17091
746374333552005121,wsmartin218,Premium,14216
201066140,pnjaban,Premium,1178841
90480218,RichardGrenell,Premium,1778291
358545917,Cernovich,Premium,1410604
534023,alx,Premium,979960
537709549,LauraLoomer,Premium,1516834
1192522264916443143,livccoleman,,895
58579942,mattgaetz,Premium,3362973
28576135,thejointstaff,Government,398479
20736511,nayibbukele,Government,7392237
1885141569344249856,RickyBuria,,4
3002625037,dodpaa,,4971
121574367,LisaMarieBoothe,Premium,935137
1890181834543185920,OfficialCSAF,,2339
21149655,ArthurSchwartz,Premium,135367
19611483,usairforce,Government,1637252
877883121290674177,DoD_Outreach,,18754
1900557217129975808,SeanParnellATSD,Government,2902
341194704,SteveGuest,Premium,121546
1896561994150686720,TRadabaughDOD,Government,63
20600214,NationalGuard,Government,160167
31310158,USNationalGuard,Government,716827
1211389681637572608,charlottew006,Premium,1374
278145569,MarshaBlackburn,Government,1475365
25930421,US7thFleet,Government,205947
18482836,kristina_wong,Premium,131076
18144581,USNorthernCmd,Government,170648
832978972602429440,GrahamAllen_1,Premium,509653
10126672,USMC,Government,1705992
8775672,USArmy,Government,2055099
1681010373913092096,mpdimino,Premium,9247
780898131835752448,tamijradabaugh,,641
814367737342328833,SecArmy,Government,124543
2651190312,BrendanCarrFCC,Government,163030
1326229737551912960,libsoftiktok,Premium,4352888
500348426,BrianHegseth,Premium,73601
472431999,SohrabAhmari,,149101
121147627,russvought,Government,136512
1854919740554190848,RepBrandonGill,Government,72933
1881450170065260544,Taylor47,Government,27746
1889473613881024513,DNIspox,Government,9366
1886776365673803776,SecRollins,Government,111175
1542228578,JDVance,Government,4044030
1616897762142097408,RealTomHoman,Government,698015
297948413,TriciaOhio,Premium,21963
125128723,RaheemKassam,Premium,536231
21426423,mboyle1,Premium,52012
1889069367394193408,SBA_Kelly,Government,92998
1889019333960998912,SecScottBessent,Government,212585
1881479405458935808,Pfeiffer47,Government,17023
353190789,jepersing,,4646
701825647,SeanParnellUSA,Premium,301082
18005085,MZHemingway,Premium,1427564
50769180,IngrahamAngle,Premium,5201893
56561449,JesseBWatters,Premium,3345369
17995040,benshapiro,Premium,7786023
18208354,joerogan,Premium,15166670
216881337,RandPaul,Government,5930709
2417586104,SebGorka,Premium,1755120
232901331,dbongino,Premium,6756474
18166778,Jim_Jordan,Government,6195179
26637348,TulsiGabbard,Government,3732277
22703645,TuckerCarlson,Premium,15959723
39349894,EricTrump,Premium,5751006
25073877,realDonaldTrump,Government,102445550
592730371,JackPosobiec,Premium,3099904
499154896,alexbruesewitz,Premium,574653
1006602338935508992,EliCrane_CEO,Premium,69568
1889464666885382144,DNIGabbard,Government,465454
1892594777075417088,FBIDirectorKash,Government,1203762
1886531809284173824,AGPamBondi,Government,812155
1883283813276770304,Sec_Noem,Government,545074
1881455270347546624,JamesBlair47,Government,6762
1881478226884853760,Kaelan47,Government,27101
1881449011368095744,StevenCheung47,Government,80174
1882089668306427904,MikeWaltz47,Government,66995
1881453001656709120,AnnaKelly47,Government,34064
1881447582213550080,Scavino47,Government,248437
1881524001412943872,MargoMartin47,Government,168706
18986695,ScottJenningsKY,Premium,598231
1879652428490149888,VP,Government,888502
1879644163769335808,WhiteHouse,Government,1340071
215885760,KaelanDorr,Premium,32864
1518709627927633920,PeteHegseth,Government,1527862
1891297589775003649,DOGE_DOD,Government,55240
1856751787644260354,DOGE,Government,4725834
1879670389057474560,PressSec,Government,1040170
1881451105454002176,RapidResponse47,Government,838180
1625493998,KingsleyCortes,Premium,100120
1893027782684483585,DODResponse,Government,138145
1883257372740591616,SecDef,Government,547764
66369181,DeptofDefense,Government,6653411
1879650942410481666,POTUS,Government,2961759
1893054754953048064,GrahamAllenDOD,Government,62163
44196397,elonmusk,Premium,219652476
