Twitter ID,Screen name,Verification,Followers
115749048,SecretService,Government,1401005
350980419,AFSpecOpsCmd,Government,55168
292342774,USFleetForces,Government,161136
481439919,cyber,Premium,302104
556177249,US5thFleet,Premium,140991
250669155,ARCYBER,Government,40143
1059463919465586693,CNMF_CyberAlert,,70104
81155662,US_STRATCOM,Government,243847
964227358218649600,CISAgov,Government,297528
25159286,CENTCOM,Government,800228
1025447036835885056,US_SpaceCom,Government,146768
1018222248,USSOCOM,Government,151869
925418046075883522,USFLEETCYBERCOM,,17223
827574011928395777,MARFORCYBER,,16263
1423270264939372547,ONCD,,21623
1199111577833820160,NSACyber,Premium,142740
4210241608,NCSC,Government,142302
1271502422976929793,CYBERCOM_DIRNSA,,54528
1130893345075716096,US_CYBERCOM,Government,134708
115747507,ORISEconnect,,4602
26572460,SpaceForceDoD,Government,654264
1293572831247249409,StateINR,Government,4517
938956821930397696,ciaomf2001,,4236
2221096082,ChiefMI6,Government,159660
1292659954797539329,ASIOGovAu,Government,24256
725691107552669696,scrscanada,Government,8090
725688814069518336,csiscanada,Government,57929
4785764884,GCHQ,Government,183062
2906666380,NCSCgov,Government,120516
2785785023,NatReconOfc,Government,83221
133456403,Bush41Library,,65112
180815351,DEAHQ,Government,155612
17629860,FBI,Government,3762807
15647676,DHSgov,Government,2426015
16028241,Readygov,Government,175509
11348282,NASA,Government,85788828
222953824,Gov,Business,2278232
137454693,Digital_Gov,,52769
7152572,librarycongress,Government,1200613
15113565,USCG,Government,663003
54645160,DARPA,Government,268280
1683318644,icontherecord,,16520
2248872301,NSAGov,Government,1095893
54885400,USNavy,Government,1780858
19611483,usairforce,Government,1637252
10126672,USMC,Government,1705992
8775672,USArmy,Government,2055099
66369181,DeptofDefense,Government,6653411
9624742,StateDept,Government,6499563
569075497,ODNI_NIC,,48904
117439544,DefenseIntel,Government,260002
356334842,NGA_GEOINT,Government,99470
822215673812119553,WhiteHouse45,Government,23836748
30313925,ObamaWhiteHouse,Government,11431671
56838279,ODNIgov,Government,279391
