Twitter ID,Screen name,Verification,Followers
938758536938557440,ChadGilmartinCA,Premium,18540
891040037814579201,lyndeedrose,Premium,1978
44945327,Franklin_Graham,Premium,2966233
48459553,KatiePavlich,Premium,1207608
955955001876254720,MaryMargOlohan,Premium,133504
1251200984942104577,PeterHoffman45,,2868
1194368246176256001,JaRonSmith45,,15398
245963716,TiffanyATrump,Premium,1021291
2281956015,macaulayporter,Premium,6275
1195056174871261185,NicoleFrazier45,,1941
1194371671374868480,ScottTurner45,,5580
866725756025667584,WhiteHouseCEA45,,23948
54065433,markpmeredith,Premium,11049
1009976545044201472,AliceMarieFree,Premium,40156
1276245533145927680,KLeavitt45,,12415
1278762116124676097,HWFields45,,6073
912020850865471489,jalen_drummond,Premium,8717
1276245465072271360,SarahMatthews45,,4511
1287825666994507781,BMorgenstern45,,9051
1290342552667906052,DougHoelscher45,,1412
1148223852494950400,CBPMarkMorgan,,31939
23022687,tedcruz,Government,6942319
216881337,RandPaul,Government,5930709
950854527846141958,aviberkow45,,23191
1191733036133552128,DHS_Wolf,Premium,61783
94784682,JonathanTurley,Premium,930884
14389212,robcrilly,Premium,32466
1278408171267207168,WHRpdResponse45,,55038
1079776144524754944,NikkiHaley,Premium,1086411
1212806053907185664,TheLeoTerrell,Premium,2508169
591973307,PhilipWegmann,Premium,52758
21333396,susancrabtree,Premium,135768
18956073,dcexaminer,Business,361431
10292132,joelpollak,Premium,288358
812135885328236551,RealSaavedra,Premium,358632
1196441152486072320,C__Herridge,Premium,987030
445763068,_WilliamsonBen,Premium,24536
16336098,KristinFisher,Premium,71852
109579534,EliseStefanik,Premium,989160
40604613,CurtisHouck,Premium,100695
38495835,marklevinshow,Premium,4757936
232901331,dbongino,Premium,6756474
2438831503,ChanelRion,Premium,611568
37841185,Alyssafarah,Premium,150174
1062465792212717574,KerriKupecDOJ,Premium,61463
1313424913,BenKennedyTV,,5908
20076659,theMRC,Business,278929
45190383,newsbusters,Premium,247663
20243128,BrentBozell,Premium,167148
1487833027,BaxterMurrell,Premium,273
13524182,daveweigel,Premium,532503
31127446,markknoller,Premium,303422
18005085,MZHemingway,Premium,1427564
15731368,HowardKurtz,Premium,154689
1707369648,MediaBuzzFNC,,19075
778763106289758208,realJennaEllis,Premium,1102460
963480595,MarkMeadows,Premium,1080773
18166778,Jim_Jordan,Government,6195179
996094929733652481,DebbieLesko,Government,129395
404422077,SquawkCNBC,Business,510487
14787713,FOX29philly,,662792
14839147,ericbolling,Premium,1201634
23970102,BillOReilly,Premium,3407439
968650362,SenTomCotton,Government,779688
36042554,RoyalFamily,Government,5631380
93471126,usembassytokyo,Government,153704
76163900,johnnydestefano,,3280
880406685311004672,jt_radford,,1
818948638890217473,FmrRepMattGaetz,Premium,3149472
58579942,mattgaetz,Premium,3362973
1073588049588772864,TommyHicksGOP,Premium,30495
131497030,VanJones68,Premium,883481
2353605901,RonnaMcDaniel,Premium,1268505
100420381,jabinbotsford,,20201
908010213864865793,Pablo3names,,1212
16869718,johnrich,Premium,1382180
