Twitter ID,Screen name,Verification,Followers
1933163998339530752,ByronWarRoom,Premium,2483
1866688761305653248,dto_rok,Premium,23371
1138860107691958273,America250,,4971
1927401880700825601,DCIARatcliffe,Government,42247
234573331,HouseAgGOP,Government,29652
1922726332229648384,USAttyPirro,Government,64814
4865550959,grandoldmemes,Premium,652894
1910742306820378624,DAGToddBlanche,,797
1889464666885382144,DNIGabbard,Government,465454
1889019333960998912,SecScottBessent,Government,212585
1242534200634478593,RealPNavarro,Premium,323736
1889473613881024513,DNIspox,Government,9366
1881479405458935808,Pfeiffer47,Government,17023
1881450170065260544,Taylor47,Government,27746
1841988608825466880,america,Business,1016792
1905273048908898304,USgreatness,Premium,226
1886875846473879552,SecKennedy,Government,887738
1894103144977895427,WHOSTP47,Government,420
1904142400554995714,mkratsios47,Government,1822
1616897762142097408,RealTomHoman,Government,698015
180984316,derekmaltz_sr,Premium,24830
1901635213693784065,FBIDDBongino,Government,106241
1665693529127936002,WokeWarRoom,Premium,26970
1354219017721032709,USTradeRep,Government,26807
72431423,tomemmer,Premium,18570
827279765287559171,SpeakerJohnson,Government,996794
14836282,Jim_Banks,Premium,71238
101852818,Eric_Schmitt,Government,199294
1326229737551912960,libsoftiktok,Premium,4352888
1393287208426082306,MostlyPeacefull,Premium,531822
1883853671148167168,SecDuffy,Government,336255
1881451105454002176,RapidResponse47,Government,838180
39384517,ICEgov,Government,843515
66369181,DeptofDefense,Government,6653411
1883257372740591616,SecDef,Government,547764
9624742,StateDept,Government,6499563
1883283813276770304,Sec_Noem,Government,545074
1881524001412943872,MargoMartin47,Government,168706
1881447582213550080,Scavino47,Government,248437
1881454601041244161,HFields47,Government,28094
1881453001656709120,AnnaKelly47,Government,34064
1882089668306427904,MikeWaltz47,Government,66995
1879651867288018944,FLOTUS,Government,449638
1098091506886471680,laralogan,Premium,1112070
1881449011368095744,StevenCheung47,Government,80174
1858947201709305856,SecRubio,Government,824585
1879670389057474560,PressSec,Government,1040170
1879652428490149888,VP,Government,888502
1879644163769335808,WhiteHouse,Government,1340071
1879650942410481666,POTUS,Government,2961759
21026508,SergioGor,Government,36420
3451032734,sturnerofficial,Government,31692
833673914,michaelgwaltz,Government,205265
1476266175948595207,BrennaBird,,7093
21572351,auctnr1,Premium,14850
1856751787644260354,DOGE,Government,4725834
1863271160747610112,Kash_Patel,Government,1418763
1140392712581111808,generalkellogg,Premium,63976
1024474926227578881,vincehaley,Premium,16012
1813545855028277248,SteveWitkoff,Premium,58402
4833263702,LChavezDeRemer,,22726
1319523522,DoctorJanette,Premium,79665
410053879,berniemoreno,Government,73279
65522706,Linda_McMahon,Premium,171902
1250641972051746823,CullenBiringer,Premium,534
1518709627927633920,PeteHegseth,Government,1527862
83488677,willscharf,Premium,67115
1247366511737466881,rodzvianca,,5643
1049265018280263680,stevewilldoit,Premium,977762
1848066423165227008,JRileyFulk,,67
4808402532,henryrodgersdc,Premium,64770
21255118,DanicaPatrick,Premium,1862064
87761810,dougmillsnyt,Premium,93989
337808606,RobertKennedyJr,Government,5519670
1393335583834091521,howardlutnick,Government,173747
398949104,KyleForgeard,Premium,459682
26637348,TulsiGabbard,Government,3732277
1403784319122907136,BehizyTweets,Premium,656416
18986695,ScottJenningsKY,Premium,598231
1822313061975273472,MediasLies,Premium,305103
18313747,HARRISFAULKNER,Premium,697897
56561449,JesseBWatters,Premium,3345369
208155240,MariaBartiromo,Premium,1509481
1591964800216612866,ChayaRaichik10,Premium,651906
896466491587080194,greg_price11,Premium,478605
534023,alx,Premium,979960
369824074,WillBryant4,,206
343041182,TomCottonAR,Government,689033
759660076214853632,adinross,Premium,2640438
746374333552005121,wsmartin218,Premium,14216
115749048,SecretService,Government,1401005
1746279343775522816,brianhughes,Premium,2935
48177630,BPUnion,Business,283053
44196397,elonmusk,Premium,219652476
491719838,TPUSA,Business,736726
21924842,gregsteube,Premium,22529
1748105855084507136,itsiankelley,Premium,1553
4755913398,DougBurgum,Government,70575
212405514,CSUNSHINE,Premium,304146
1461518977264410625,LukeLCollins,Premium,1530
478855762,JessieJaneDuff,Premium,298122
357935735,elizabethpipko,,21808
1092293822,Danielle_Alva,,7918
913308968809672705,realannapaulina,Premium,804812
1478764379613061120,AlinaHabba,Premium,539417
826065164504006657,mtgreenee,Premium,1500027
81191343,votetimscott,Premium,223708
914815520842616834,NancyMace,Premium,498220
1592582055136837633,Alex_Latcham_,Premium,3197
47253057,RogerJStoneJr,Premium,808675
1245964323752677378,RealDylanMO,Premium,4696
844732519966801921,karolineleavitt,Government,833962
499154896,alexbruesewitz,Premium,574653
1112744620247662592,WesleyHuntTX,Premium,324919
1061762696,JamesBlairUSA,Premium,59564
2765250119,realBobbyLevy,Premium,5257
702478636,CORBINJT,Premium,6156
1073773247743836161,JayneZirkle,Premium,50979
427385632,ramble_rants,Premium,61834
3267456386,ColumbiaBugle,Premium,408973
707278892801765377,TAftermath2020,Premium,94223
592730371,JackPosobiec,Premium,3099904
622310854,PaulIngrassia,Premium,53647
1511107158137520129,SteakforPodcast,Premium,24184
1413909787746656269,C3PMeme,Premium,135187
96015533,ByronDonalds,Premium,1072791
1625493998,KingsleyCortes,Premium,100120
250414171,nelkboys,Business,674735
125128723,RaheemKassam,Premium,536231
965299622,brianglenntv,Premium,63208
896731633704947712,TPostMillennial,Business,425852
1588985053308239872,WarlordDilley,Premium,194594
739610364975808513,paulsperry_,Premium,543134
1421181866,ChrisLaCivita,Premium,74207
