Twitter ID,Screen name,Verification,Followers
580054149,PageauJonathan,Premium,81322
1681423452752826370,Jed_Rubenfeld,Premium,10960
20747881,kyrstensinema,,172829
26548841,RonaldReagan,Premium,110203
1187808818522030080,joekent16jan19,Premium,249861
7728762,Jon_Stockstill,Premium,12599
129401455,JaredKubin,Premium,9210
1582466002113249282,TheFP,Business,340438
1448161271015215104,WilliamThibeau,Premium,2109
38644883,RichSementa,Premium,65739
4145214629,WesleyLHuff,Premium,108878
239885144,holland_tom,Premium,342735
27934053,aishahhasnie,Premium,80082
16017475,NateSilver538,Premium,3352077
1848923538104688640,KunceGunSafety,,225
1675230699396251655,JamieWhistle,Premium,15260
75541946,LaraLeaTrump,Premium,2150756
4808402532,henryrodgersdc,Premium,64770
1716812845936156672,SeanBerube4,Premium,45243
16523905,robbystarbuck,Premium,796909
378773991,MattTyAlbright,,665
2322990397,MaxDFOX2,,631
167562422,zugzwanged,,12552
2490138270,DawnChapmanSTL,,2439
53176629,Teamsters,Business,132184
1969097227,McCormickProf,Premium,110773
1525976077,AGAndrewBailey,Premium,273414
22883463,1310kzrg,,3779
21333396,susancrabtree,Premium,135768
1097939463110443008,JMRaasch,Premium,4379
1560668763082686465,TeamsterSOB,,55023
2853461537,ScottAdamsSays,Premium,1254140
259001548,kayleighmcenany,Premium,3969046
14246657,SteveKrak,Premium,66440
20975060,johnrobertsFox,Premium,298610
523313805,davidadamcone,Premium,16995
27943436,approject,Business,74388
25558890,russellbjohnson,Premium,3573
917683048782503937,michaelxpettis,Premium,169252
427630477,AndrewDesiderio,Premium,92958
21252618,JakeSherman,Premium,432854
807291270,coachbrucepearl,Premium,165188
883233222,Alex_agvg,Premium,4690
581999965,RealDeanCain,Premium,851466
2893594444,DanielMKishi,Premium,1834
20463762,johnsnonsense,,2346
52529896,colincowherd,Premium,1602878
607403748,teamsters688,,1942
407013776,burgessev,Premium,145039
4809154848,AllisonMPecorin,,5983
3246007584,keith_marquis,,427
337808606,RobertKennedyJr,Government,5519670
1091633064,WBLittlejohn,Premium,5633
519897737,abigailmarone,Premium,76098
1589986640587640834,Riley_Gaines_,Premium,1517214
349347318,PeterAttiaMD,Premium,484747
22928810,willcain,Premium,384574
19640464,VictorSwift,Premium,2347
4416456732,hubermanlab,Premium,1564590
26816594,BioLayne,Premium,219665
15212187,bennyjohnson,Premium,3609934
31047836,michaeljknowles,Premium,1295790
832978972602429440,GrahamAllen_1,Premium,509653
155344732,DelanoSquires,Premium,129755
1102020368,GShaneMorris,,6274
896466491587080194,greg_price11,Premium,478605
32201297,mirandadevine,Premium,787402
1500129642,MattWalshBlog,Premium,3630317
14367008,ErikReed,Premium,30089
45924265,mitchholthus,Premium,111452
33583496,Chiefs,Business,2677708
2996253413,RandyRRQuaid,Premium,1173376
31700619,SethDillon,Premium,838766
322826289,danorlovsky7,Premium,722643
499154896,alexbruesewitz,Premium,574653
45516657,walterkirn,Premium,208289
4276531,PastorMark,Premium,465704
701880939991998466,johnlovell275,Premium,146951
137791586,clydeprestowitz,,12963
334715818,BuckSexton,Premium,1253366
2474749586,shellenberger,Premium,1373062
3066800573,realchrisrufo,Premium,817810
1413149053018263555,austinjdahmer,Premium,3510
15745368,marcorubio,Government,4775621
1427361863830949908,DrJBhattacharya,Premium,701610
1326229737551912960,libsoftiktok,Premium,4352888
36529101,seanmdav,Premium,572497
289548939,bariweiss,Premium,1109328
3291506171,Mmontsealvarado,,2888
31439580,JoelWBerry,,129552
1071585991,BillMelugin_,Premium,547461
391534562,yhazony,Premium,101087
201066140,pnjaban,Premium,1178841
35511525,amconmag,Premium,75262
528111735,JonathanLSilver,,679
28254715,tabletmag,Business,90530
10292132,joelpollak,Premium,288358
38271276,mtaibbi,Premium,2020429
955955001876254720,MaryMargOlohan,Premium,133504
183361483,JakeCrain_,Premium,54757
466864852,BoSnerdley,Premium,692985
41634520,seanhannity,Premium,7106576
26637348,TulsiGabbard,Government,3732277
14869587,albertmohler,Premium,218044
855318254,RyanGirdusky,Premium,208281
73021361,tkelce,Premium,1443200
508179661,CooperKupp,Premium,212993
1367531,FoxNews,Premium,25893973
