Twitter ID,Screen name,Verification,Followers
1879670389057474560,PressSec,Government,1040170
22642788,pewresearch,Premium,420671
14625398,USCIS,Government,453775
982762350,NWSBUFFALO,Government,49072
1886875846473879552,SecKennedy,Government,887738
1237594800624451585,JoeKarwacki,Premium,622
1054394440234737664,KEichamer,,439
3506049982,NWSSWPC,,119368
1484563289392693252,noaaepic,,1155
1884335739753881602,interiorpress47,Government,1266
1881451105454002176,RapidResponse47,Government,838180
57625403,USFWS,Government,312596
1393335583834091521,howardlutnick,Government,173747
860334187,NWS_BaltWash,Government,77314
1879650942410481666,POTUS,Government,2961759
1879644163769335808,WhiteHouse,Government,1340071
18990471,USCPSC,Government,156369
238197721,AsstSecStateAF,Government,162424
272019676,CSIS,Premium,415360
785287422,NWSPittsburgh,Government,56088
1551586966243643392,NOAALibrary,,580
1357202502454804481,USTRSpox,,4726
1666201565663985665,noaagsl,,272
906438260,DoDCTO,,10796
36960352,FDICgov,Government,47698
732402528,AfricaMediaHub,Government,42443
1546497699918123008,DelaneyNTIA,,466
1400911626140717056,noaapmel,,189
21024997,AP_Images,,186878
1537429927116410880,HeatGov,,1492
80613575,scijinks,,8379
1480576711704072192,DavidsonNTIA,,2502
1354459849187356676,WHOSTP,,27809
3118608186,USCSColombia,,586
587767093,NWSGlasgow,Government,8569
607867793,NWSNewYorkNY,Government,104562
1094985107608350720,censusdirector,,2372
1349389044426403847,LaCasaBlanca46,Government,173580
590028170,NWSPocatello,Government,9675
300531865,NOAAFish_WCRO,,3460
1686014994,BOEM,,8589
1445847019986190340,AsstSecCastillo,,904
743599406,NWSAnchorage,Government,22537
21870081,TeamUSA,Premium,2074408
1387431656743604225,CLDP_DOC,,646
2795941059,ForeignAsst_gov,Government,3649
589304873,NWSElko,Government,9027
15113565,USCG,Government,663003
743919871,NWSJuneau,Government,9422
1392831444616101888,DepSecGraves,,6499
1355168477422739458,WHCEQ46,,6105
743874438,NWSFairbanks,Government,14534
595854486,NWSHanford,Government,22387
632015726,NWSAlbany,Government,28552
1394917244,NWSOPC,Government,26374
590094131,NWSLubbock,Government,27527
600086429,NWSNorthPlatte,Government,13701
809914358,NWSBinghamton,Government,32861
589513676,NWSSanAngelo,Government,23909
594749537,NWSSanAntonio,Government,79068
600759546,NWSLaCrosse,Government,16562
917849635787505669,NWSAWC,Government,10940
597473795,NWSAberdeen,Government,12886
613495552,NWSRapidCity,Government,16883
588221921,NWSEureka,Government,14712
823098086,NWSNERFC,Government,9114
599281894,NWSAmarillo,Government,38815
631283566,NWSOHRFC,Government,6657
592209984,NWSMedford,Government,14834
1354219017721032709,USTradeRep,Government,26807
304049696,NWSAlaska,Government,18345
1079654130,NWSCaribou,Government,12788
590161939,NWSMidland,Government,16006
802356409,NWS_PTWC,Government,51234
613770208,NWSStateCollege,Government,25914
1365023928750665728,DepSecDefHicks,Premium,56827
562304281,NWSCentral,Government,23195
601981724,NWSCPC,Government,56907
304054410,NWSHonolulu,Government,41275
304070008,NWSWestern,Government,21673
590190799,NWSBrownsville,Government,22192
588387056,NWSEastern,Government,68559
730905103,nwscbrfc,Government,1666
821401298,NWSMARFC,Government,7590
221114139,SBAPacificNW,,3239
426909329,CDCDirector,Government,347121
1011640329647394816,SecVetAffairs,Government,107410
1358117090268446721,AmbassadorTai,Premium,56906
1357410929001037824,SBAIsabel,Premium,21258
1354525155238801413,USAmbUN,Government,396722
1364332024929148932,SecVilsack,Premium,47848
305256777,NWSSouthern,Government,39098
703628922,NWSGray,Government,24672
1365360911406559232,US_CommSvc_UK,,437
1364614306256412679,SecRaimondo,Premium,83134
1356633759123197956,WHCEA46Archive,Premium,26258
471701572,B_RadWill,,3188
15587500,CDC_eHealth,Premium,652979
86697288,HealthCareGov,Government,272990
1349170292564905988,PressSec46,Government,2091651
939091,JoeBiden,Premium,38177200
30354991,KamalaHarris,Premium,20944762
1349154719386775552,FLOTUS46Archive,Government,4298693
1349175483989188608,SecondGent46,Government,1647940
